[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	67451.6	70129.5	0	0	0	0.09589925	0.09869155	67451.516	16.67895	388.0348	70129.38	16.64875	533.84033
[LOG]	1	842.525	877.689	0	0	0	0.035470914	0.03728856	842.4441	11.660389	66.102394	877.608	11.604467	68.52248
[LOG]	2	246.696	254.189	0	0	0	0.042986713	0.044454828	246.61623	8.934465	42.312294	254.10887	8.913727	45.968536
[LOG]	3	136.1	138.38	0	0	0	0.054634977	0.055716272	136.02084	7.2290106	30.991055	138.30147	7.19055	32.94726
[LOG]	4	90.9066	91.3617	0	0	0	0.063225195	0.06307595	90.82855	6.089016	24.688465	91.28365	6.035997	26.151365
[LOG]	5	68.5134	68.4632	0	0	0	0.069084056	0.068739526	68.43615	5.309936	20.730331	68.38598	5.2560406	21.884964
[LOG]	6	55.6327	56.4427	0	0	0	0.072213165	0.07328097	55.556168	4.75848	18.46164	56.366226	4.718561	19.110586
[LOG]	7	48.2177	48.4325	0	0	0	0.07537768	0.07531146	48.14178	4.3645287	16.698189	48.356552	4.3276997	17.644001
[LOG]	8	43.0217	43.8056	0	0	0	0.076108314	0.07766792	42.946354	4.0747194	15.702714	43.730297	4.040582	16.713102
[LOG]	9	39.3544	39.6456	0	0	0	0.077007875	0.078535445	39.27951	3.8586013	15.15219	39.57076	3.8261836	15.549314
[LOG]	10	36.4278	37.2218	0	0	0	0.07697156	0.0788333	36.353405	3.694559	14.155207	37.147366	3.6626847	15.14208
[LOG]	11	34.1629	34.471	0	0	0	0.07747261	0.07764034	34.08888	3.566296	13.647837	34.396942	3.5355332	13.921992
[LOG]	12	31.884	32.2194	0	0	0	0.07691988	0.077547655	31.810219	3.463476	13.109917	32.14568	3.4336681	13.482723
[LOG]	13	29.83	30.0071	0	0	0	0.076317415	0.07753512	29.756462	3.3783188	12.102961	29.93357	3.3489883	12.897387
[LOG]	14	27.3831	27.6007	0	0	0	0.07539092	0.07633425	27.309746	3.3057902	11.784126	27.527407	3.2767408	12.0943
[LOG]	15	24.6949	25.2568	0	0	0	0.073346406	0.0739165	24.62161	3.241998	11.066787	25.183506	3.2131503	11.499781
[LOG]	16	22.0827	22.4625	0	0	0	0.0713404	0.07287827	22.009415	3.1847465	10.461262	22.389175	3.1563413	10.746371
[LOG]	17	19.0176	19.6731	0	0	0	0.06804593	0.06929001	18.944124	3.132818	9.634156	19.5996	3.104623	10.058491
[LOG]	18	16.2944	16.4624	0	0	0	0.064900465	0.06664021	16.220572	3.0853033	8.956005	16.388586	3.05742	9.17374
[LOG]	19	13.3558	13.445	0	0	0	0.0633463	0.06486781	13.281549	3.0419886	8.334341	13.370788	3.014344	8.544441
[LOG]	20	10.4552	10.6137	0	0	0	0.06338429	0.06480669	10.380418	3.002897	7.832495	10.538975	2.975475	8.094716
[LOG]	21	7.64137	7.75765	0	0	0	0.06394815	0.06546066	7.566117	2.9679174	7.100824	7.682392	2.940696	6.9639807
[LOG]	22	5.49219	5.62195	0	0	0	0.0633387	0.06428711	5.4164467	2.9373658	6.3116827	5.5462127	2.9103024	6.3841486
[LOG]	23	4.01832	4.0526	0	0	0	0.059470683	0.060978	3.9421608	2.9112778	5.7100654	3.9764466	2.884339	5.862462
[LOG]	24	3.12159	3.21393	0	0	0	0.05482808	0.056795005	3.0450506	2.8894014	5.053855	3.1373935	2.8625503	5.150094
[LOG]	25	2.66562	2.6898	0	0	0	0.051294666	0.052991256	2.5887415	2.8712952	4.478442	2.6129174	2.844497	4.31159
[LOG]	26	2.42477	2.47042	0	0	0	0.049239516	0.05176134	2.3475804	2.8564374	3.7778068	2.3932328	2.8296769	3.742843
[LOG]	27	2.35047	2.38216	0	0	0	0.04907695	0.05164402	2.273001	2.844317	3.259843	2.304692	2.817594	3.3628335
[LOG]	28	2.32843	2.35924	0	0	0	0.050399598	0.053211804	2.2507236	2.834561	2.9832764	2.281532	2.8078384	3.0288296
[LOG]	29	2.31758	2.34277	0	0	0	0.05083983	0.053519353	2.2396832	2.8267968	2.9004004	2.2648737	2.800078	2.826886
[LOG]	30	2.30551	2.33743	0	0	0	0.05014682	0.053041086	2.2274656	2.8207421	2.8347073	2.2593794	2.7940195	2.802111
[LOG]	31	2.29984	2.32891	0	0	0	0.049873654	0.052567787	2.2216785	2.8160949	2.7957284	2.250756	2.789369	2.7967346
[LOG]	32	2.29327	2.3198	0	0	0	0.049275454	0.051686715	2.2150383	2.812613	2.7965727	2.2415686	2.7858799	2.8183274
[LOG]	33	2.29055	2.32037	0	0	0	0.04904801	0.05185606	2.2122664	2.8100708	2.7959116	2.2420835	2.7833297	2.824344
[LOG]	34	2.29208	2.31757	0	0	0	0.049087577	0.051512986	2.2137704	2.8082654	2.8005598	2.2392607	2.7815163	2.8472302
[LOG]	35	2.28853	2.31199	0	0	0	0.04877906	0.051244613	2.210219	2.8070307	2.785722	2.2336779	2.7802749	2.8037615
[LOG]	36	2.28822	2.31805	0	0	0	0.04879645	0.051690176	2.2099197	2.8062065	2.792417	2.2397466	2.779445	2.7978745
[LOG]	37	2.28167	2.3113	0	0	0	0.048235446	0.05106011	2.203397	2.8056498	2.7814176	2.2330236	2.778885	2.8031301
[LOG]	38	2.27935	2.30759	0	0	0	0.048105814	0.05073639	2.2010937	2.805277	2.7824776	2.2293396	2.7785118	2.7808936
[LOG]	39	2.28079	2.30507	0	0	0	0.048058257	0.050472774	2.2025561	2.8049967	2.770976	2.2268367	2.7782319	2.7877195
[LOG]	40	2.2753	2.30488	0	0	0	0.047621455	0.050521445	2.197085	2.8047717	2.7732782	2.2266657	2.7780104	2.796837
[LOG]	41	2.2771	2.30626	0	0	0	0.047716588	0.05052928	2.1988993	2.8045416	2.788066	2.2280505	2.7777863	2.8116233
[LOG]	42	2.2671	2.29585	0	0	0	0.046823435	0.049520895	2.1889	2.8042774	2.795035	2.21765	2.7775302	2.7911367
[LOG]	43	2.26799	2.29072	0	0	0	0.04689754	0.04931147	2.189797	2.8039453	2.7964568	2.2125292	2.7772079	2.8353405
[LOG]	44	2.26441	2.29095	0	0	0	0.046540603	0.049041167	2.1862116	2.8035553	2.825348	2.21275	2.7768292	2.8317611
[LOG]	45	2.26084	2.29134	0	0	0	0.04619399	0.049157087	2.182641	2.803109	2.8193061	2.2131379	2.7763963	2.8174472
[LOG]	46	2.25588	2.28351	0	0	0	0.045780316	0.048276395	2.1776667	2.8025892	2.8304348	2.2052934	2.775891	2.8192792
[LOG]	47	2.25576	2.27929	0	0	0	0.045608457	0.048037637	2.1775365	2.8019984	2.8148158	2.201064	2.775315	2.8386953
[LOG]	48	2.24875	2.27954	0	0	0	0.045041174	0.04785643	2.170504	2.8013575	2.8790693	2.2012854	2.774691	2.8270533
[LOG]	49	2.24892	2.271	0	0	0	0.04495559	0.047007337	2.170646	2.800654	2.8370075	2.1927254	2.7740042	2.822758
[LOG]	50	2.24394	2.2724	0	0	0	0.044344693	0.04704574	2.1656296	2.799906	2.873407	2.1940827	2.773274	2.8702881
[LOG]	51	2.23384	2.26419	0	0	0	0.043684214	0.046425037	2.1554792	2.799108	2.885991	2.185836	2.7724943	2.9057941
[LOG]	52	2.2307	2.25547	0	0	0	0.043174334	0.04553844	2.1522892	2.79829	2.8851373	2.1770601	2.7716947	2.9245389
[LOG]	53	2.22524	2.25342	0	0	0	0.042532023	0.04528363	2.1467636	2.797431	2.9176452	2.17495	2.7708542	2.8938851
[LOG]	54	2.2181	2.24298	0	0	0	0.042083193	0.044366088	2.1395485	2.796562	2.923465	2.1644323	2.7700036	2.944714
[LOG]	55	2.21083	2.23637	0	0	0	0.04111436	0.04375793	2.1322014	2.7956784	2.948941	2.1577365	2.769138	2.9478638
[LOG]	56	2.19858	2.22661	0	0	0	0.04010895	0.042407706	2.1198502	2.7947922	2.9910922	2.1478796	2.7682705	2.9263554
[LOG]	57	2.18755	2.2118	0	0	0	0.03925545	0.041337095	2.1087065	2.7939115	3.0127761	2.1329546	2.7674072	3.0008574
[LOG]	58	2.17312	2.20299	0	0	0	0.037880734	0.04074492	2.0941422	2.793029	3.0177078	2.1240203	2.7665427	3.0734699
[LOG]	59	2.16241	2.18588	0	0	0	0.036833793	0.03917285	2.083292	2.7921557	3.0711985	2.106759	2.7656853	3.0481973
[LOG]	60	2.14612	2.17614	0	0	0	0.03557191	0.03805449	2.0668426	2.7912967	3.0733173	2.0968578	2.7648425	3.0825784
[LOG]	61	2.1347	2.14792	0	0	0	0.03439036	0.03594936	2.0552406	2.7904367	3.1245818	2.0684593	2.7639978	3.097135
[LOG]	62	2.11203	2.1414	0	0	0	0.032891467	0.034985214	2.0323818	2.7895794	3.1639373	2.061756	2.7631552	3.1716745
[LOG]	63	2.10048	2.11674	0	0	0	0.031653393	0.033594813	2.020636	2.7887168	3.19386	2.036898	2.762306	3.1809058
[LOG]	64	2.08857	2.10597	0	0	0	0.030571489	0.032262806	2.0085335	2.787845	3.2039893	2.02593	2.7614472	3.2543688
[LOG]	65	2.07392	2.09238	0	0	0	0.029349437	0.031169647	1.9936829	2.7869654	3.2438123	2.0121415	2.76058	3.2409616
[LOG]	66	2.06173	2.07887	0	0	0	0.028228411	0.029861964	1.981284	2.786078	3.2898393	1.9984193	2.7597039	3.2834349
[LOG]	67	2.0462	2.06637	0	0	0	0.027128926	0.028675443	1.9655414	2.7851868	3.3360105	1.9857111	2.7588239	3.3314152
[LOG]	68	2.03009	2.05655	0	0	0	0.025921144	0.027711943	1.949224	2.7842982	3.3972766	1.975685	2.7579453	3.4088964
[LOG]	69	2.02331	2.04272	0	0	0	0.025039257	0.026693968	1.942242	2.7834125	3.4528327	1.9616482	2.7570693	3.4678085
[LOG]	70	2.00875	2.02464	0	0	0	0.023984844	0.025357705	1.9274782	2.7825336	3.4969678	1.9433684	2.7561996	3.4498358
[LOG]	71	2.00018	2.01219	0	0	0	0.023057902	0.024196398	1.9187105	2.7816737	3.578456	1.9307129	2.7553473	3.5374513
[LOG]	72	1.99181	2.0032	0	0	0	0.022167737	0.023402464	1.9101318	2.7808344	3.6357152	1.9215305	2.7545154	3.626688
[LOG]	73	1.97573	1.99207	0	0	0	0.021036329	0.022285162	1.893861	2.7800062	3.7156231	1.9102006	2.7536938	3.6832528
[LOG]	74	1.96529	1.98392	0	0	0	0.020171648	0.021533515	1.8832325	2.7791946	3.7959845	1.9018608	2.7528882	3.7442114
[LOG]	75	1.95661	1.97059	0	0	0	0.019390363	0.020480542	1.8743628	2.7784083	3.8540454	1.8883371	2.752107	3.8251421
[LOG]	76	1.94851	1.96011	0	0	0	0.018591804	0.019599102	1.8660752	2.7776458	3.9449363	1.8776772	2.751349	3.9678977
[LOG]	77	1.93923	1.9529	0	0	0	0.017892938	0.019010052	1.8566121	2.7769036	4.0279408	1.8702813	2.7506106	3.980738
[LOG]	78	1.93033	1.94157	0	0	0	0.017124765	0.018061617	1.8475453	2.7761755	4.100165	1.8587784	2.7498853	4.0570154
[LOG]	79	1.92115	1.93281	0	0	0	0.016442114	0.017558208	1.8382074	2.7754657	4.206047	1.8498676	2.7491782	4.171885
[LOG]	80	1.91219	1.92547	0	0	0	0.015872616	0.016723523	1.8290917	2.7747889	4.2805653	1.8423686	2.7485034	4.317905
[LOG]	81	1.90611	1.9142	0	0	0	0.01532369	0.01611371	1.8228655	2.7741451	4.4121876	1.8309506	2.7478614	4.343529
[LOG]	82	1.9007	1.91086	0	0	0	0.014812726	0.015505432	1.8173242	2.7735167	4.502035	1.8274823	2.7472339	4.4660406
[LOG]	83	1.89211	1.89901	0	0	0	0.014257304	0.014885242	1.8086123	2.7729096	4.5790825	1.8155093	2.7466269	4.5897865
[LOG]	84	1.88749	1.89452	0	0	0	0.013951764	0.014538587	1.8038799	2.772339	4.661442	1.81091	2.7460568	4.65926
[LOG]	85	1.8808	1.89416	0	0	0	0.013450034	0.01430569	1.7970947	2.7718048	4.7948475	1.8104508	2.7455223	4.7899733
[LOG]	86	1.87459	1.8828	0	0	0	0.013042305	0.013758911	1.7907951	2.7712908	4.8532352	1.7990037	2.745007	4.798308
[LOG]	87	1.86895	1.88108	0	0	0	0.012795427	0.013547451	1.7850853	2.7707977	4.9677978	1.7972211	2.7445126	4.9558578
[LOG]	88	1.86413	1.87258	0	0	0	0.0124927545	0.0131162675	1.7802103	2.7703495	5.0352964	1.7886585	2.744063	5.0480366
