[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	69.2714	53.9793	0.2	1	0	0.10397556	0.09256478	18.784756	23.004017	45.802162	16.828062	23.203697	32.426754
[LOG]	1	9.38218	9.08039	0.2	1	0	0.03820878	0.03259184	2.6816614	19.259895	2.7654967	2.4613414	19.398907	2.6562274
[LOG]	2	7.90069	7.88821	0.2	1	0	0.028978491	0.0266718	2.0780783	16.105278	2.5188994	1.9951607	16.390636	2.5322669
[LOG]	3	7.14641	7.13867	0.2	1	0	0.033261556	0.03267972	2.0635853	13.01448	2.3975961	2.0261872	13.1189995	2.4063463
[LOG]	4	6.49482	6.57747	0.2	1	0	0.03762217	0.038772438	2.0929716	10.522567	2.2152877	2.0867743	10.996241	2.2093973
[LOG]	5	6.01399	6.04583	0.2	1	0	0.038650647	0.039949957	2.0883162	8.672804	2.1093054	2.0855553	8.990377	2.0803862
[LOG]	6	5.67294	5.64842	0.2	1	0	0.037139166	0.0384798	2.0645962	7.2345357	2.0798554	2.0673273	7.340192	2.0314786
[LOG]	7	5.40417	5.34207	0.2	1	0	0.034307707	0.03493729	2.029223	6.174434	2.0587754	2.0184197	6.236015	1.9951596
[LOG]	8	5.17617	5.09572	0.2	1	0	0.031698547	0.03151322	1.9973389	5.387537	2.0203846	1.9798771	5.3615394	1.9626019
[LOG]	9	5.0062	4.93607	0.2	1	0	0.029148888	0.028805392	1.9658978	4.8006663	1.9996408	1.950065	4.8154516	1.9423844
[LOG]	10	4.88946	4.81151	0.2	1	0	0.026888419	0.026134824	1.941459	4.3685308	1.9943041	1.913425	4.337839	1.9505261
[LOG]	11	4.79794	4.71678	0.2	1	0	0.026062189	0.024834821	1.9308554	4.0051904	1.9867053	1.8990905	4.001823	1.9379852
[LOG]	12	4.71138	4.63495	0.2	1	0	0.025632592	0.024064168	1.9176096	3.7201657	1.9709642	1.8885716	3.7247074	1.9226596
[LOG]	13	4.64357	4.55277	0.2	1	0	0.024909694	0.023267072	1.905565	3.469461	1.9657675	1.8657923	3.4574585	1.917143
[LOG]	14	4.57603	4.47882	0.2	1	0	0.024514997	0.023354916	1.892746	3.2435584	1.9565344	1.8612827	3.200423	1.8994153
[LOG]	15	4.52197	4.46334	0.2	1	0	0.02447734	0.0238817	1.8907396	3.0510435	1.9432626	1.8726382	3.060542	1.9008335
[LOG]	16	4.47808	4.40666	0.2	1	0	0.02419532	0.023379907	1.884377	2.8705838	1.9422019	1.866376	2.8794045	1.8870211
[LOG]	17	4.43054	4.35477	0.2	1	0	0.02396296	0.022882039	1.8782965	2.721391	1.9309595	1.8508509	2.7266843	1.8815724
[LOG]	18	4.38413	4.30365	0.2	1	0	0.023675133	0.022466507	1.8702365	2.570721	1.9230719	1.8412682	2.553776	1.8749459
[LOG]	19	4.34882	4.27738	0.2	1	0	0.023529239	0.022707239	1.8662091	2.4395022	1.9183487	1.8446828	2.439946	1.86835
[LOG]	20	4.30866	4.23629	0.2	1	0	0.02344044	0.022619063	1.8637166	2.3111799	1.9066767	1.8434252	2.2945921	1.8579177
[LOG]	21	4.2683	4.19661	0.2	1	0	0.023266837	0.022333732	1.8603892	2.191069	1.8939742	1.8377191	2.2030342	1.8425676
