[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	2.26289e+06	2.18295e+06	1	0.7	0	0.32701516	0.30616224	4665.0527	291178.66	2810070.5	3574.886	289868.6	2699300.5
[LOG]	1	214634	214261	1	0.7	0	0.034589924	0.03306781	2.276715	145999.77	98045.18	2.2360477	150824.52	90620.41
[LOG]	2	83868.6	81691.4	1	0.7	0	0.053167578	0.06272982	2.2886498	76838.55	10039.574	2.3920696	74136.9	10788.633
[LOG]	3	42568.2	39954.6	1	0.7	0	0.108810425	0.12198429	2.8268867	42162.4	575.5712	2.9618075	39592.195	513.3263
[LOG]	4	22490	21408.5	1	0.7	0	0.14965461	0.16258816	3.2376432	22447.824	55.486816	3.3725727	21366.998	54.422928
[LOG]	5	12260.3	11336.9	1	0.7	0	0.17504694	0.18868713	3.4972486	12242.595	20.141869	3.6413882	11318.545	20.957945
[LOG]	6	7904.01	8563.05	1	0.7	0	0.18752754	0.1995496	3.6286402	7891.176	13.040094	3.7610157	8549.7	13.586586
[LOG]	7	4718.14	5196.18	1	0.7	0	0.19147487	0.20294236	3.6787276	4707.2085	10.246105	3.8013334	5184.8364	10.667937
[LOG]	8	3413.16	3148.94	1	0.7	0	0.18862402	0.20041583	3.6596775	3403.4143	8.575287	3.786897	3138.8032	8.963549
[LOG]	9	2883.08	2041.5	1	0.7	0	0.18282023	0.19197173	3.6059058	2874.2532	7.3452735	3.7078454	2032.3816	7.612008
[LOG]	10	2081.54	1659.92	1	0.7	0	0.17317955	0.18322387	3.5109718	2073.5327	6.3052235	3.627294	1651.5737	6.622087
[LOG]	11	1552.32	1491.8	1	0.7	0	0.16111965	0.1713622	3.3972974	1545.0066	5.4744444	3.5139315	1484.147	5.792727
[LOG]	12	1499.03	1253.12	1	0.7	0	0.1480555	0.15568575	3.262318	1492.3335	4.7965126	3.3561184	1246.1458	5.057815
[LOG]	13	1263.38	1321.94	1	0.7	0	0.13311689	0.14293662	3.1116204	1257.2667	4.1659207	3.2191663	1315.5381	4.4361415
[LOG]	14	1082.18	1028.31	1	0.7	0	0.11862546	0.12485391	2.9572456	1076.6282	3.58796	3.0332115	1022.5567	3.7626019
[LOG]	15	1093.73	1254.23	1	0.7	0	0.1044487	0.1126129	2.8069384	1088.6719	3.1032062	2.8975036	1248.9797	3.2481132
[LOG]	16	729.17	745.819	1	0.7	0	0.0921688	0.09868238	2.6743991	724.5034	2.727904	2.746934	740.9872	2.8600793
[LOG]	17	794.368	488.498	1	0.7	0	0.083242014	0.08746491	2.5757067	789.97595	2.4750605	2.6226258	483.99796	2.5622709
[LOG]	18	901.311	729.364	1	0.7	0	0.07417734	0.0769954	2.4755278	897.1219	2.3275342	2.5064912	725.1058	2.3825538
[LOG]	19	686.909	705.451	1	0.7	0	0.06565125	0.069231264	2.3851376	682.85065	2.2700067	2.4230056	701.3214	2.317917
[LOG]	20	635.387	469.736	1	0.7	0	0.059302386	0.061413072	2.3191233	631.40216	2.2579408	2.34057	465.7207	2.2709548
[LOG]	21	699.745	633.825	1	0.7	0	0.05273701	0.055770587	2.251924	695.844	2.2347813	2.2823434	629.89233	2.2358916
[LOG]	22	586.272	399.211	1	0.7	0	0.04692464	0.050345656	2.1930408	582.457	2.1964343	2.2272937	395.35886	2.2003677
[LOG]	23	526.614	766.051	1	0.7	0	0.041198846	0.045658845	2.1356459	522.8868	2.1528962	2.1802459	762.265	2.1730163
[LOG]	24	487.833	462.623	1	0.7	0	0.03554461	0.039058108	2.0791035	484.19104	2.1115365	2.1142385	458.923	2.1446636
[LOG]	25	516.285	549.584	1	0.7	0	0.030542044	0.03467136	2.029078	512.7154	2.0798016	2.0703712	545.9625	2.094039
[LOG]	26	467.639	524.443	1	0.7	0	0.026509313	0.029632218	1.9887506	464.13202	2.0471182	2.01998	520.89374	2.0631557
[LOG]	27	599.045	819.86	1	0.7	0	0.0242049	0.026573617	1.9657063	595.5779	2.023246	1.9893936	816.3596	2.037065
[LOG]	28	459.406	449.006	1	0.7	0	0.022514759	0.02492582	1.9488051	455.96475	2.009262	1.9729156	445.53107	2.023415
[LOG]	29	329.752	356.777	1	0.7	0	0.021266723	0.023928694	1.9363246	326.33026	1.9983526	1.9629445	353.3221	2.0078175
[LOG]	30	377.045	405.596	1	0.7	0	0.020362556	0.022879692	1.927283	373.64145	1.9849374	1.9524546	402.15985	1.9962384
[LOG]	31	380.475	500.725	1	0.7	0	0.019558338	0.021783583	1.9192408	377.08478	1.9768524	1.9414933	497.3022	1.9918318
[LOG]	32	335.194	235.893	1	0.7	0	0.019077834	0.021229206	1.9144357	331.8118	1.9711468	1.9359496	232.48398	1.9785434
[LOG]	33	440.93	316.492	1	0.7	0	0.01880107	0.020889461	1.9116683	437.5553	1.9642638	1.9325522	313.0888	1.9749615
[LOG]	34	289.715	286.604	1	0.7	0	0.018432213	0.020350313	1.9079797	286.3452	1.9610733	1.9271607	283.20636	1.9734653
[LOG]	35	382.666	213.112	1	0.7	0	0.018233234	0.020062584	1.9059899	379.29794	1.9614093	1.9242836	209.72153	1.9669796
[LOG]	36	301.8	287.603	1	0.7	0	0.018114002	0.01997829	1.9047976	298.4363	1.9552794	1.9234402	284.21558	1.9638747
[LOG]	37	245.127	175.903	1	0.7	0	0.018067192	0.020070402	1.9043294	241.76602	1.9515028	1.9243617	172.51498	1.9620098
[LOG]	38	206.481	190.498	1	0.7	0	0.018064616	0.019378219	1.9043038	203.12367	1.9469091	1.9174399	187.1211	1.9561726
[LOG]	39	166.805	146.791	1	0.7	0	0.018064573	0.02003107	1.9043031	163.45035	1.9422653	1.9239682	143.41109	1.9503188
[LOG]	40	143.937	95.5384	1	0.7	0	0.018130269	0.019777525	1.9049602	140.58336	1.9389571	1.9214326	92.16353	1.9458418
[LOG]	41	123.498	110.07	1	0.7	0	0.018265577	0.019859228	1.9063132	120.14687	1.9323514	1.9222498	106.695946	1.943021
[LOG]	42	47.1793	28.7504	1	0.7	0	0.0184941	0.020132491	1.9085984	43.82554	1.9328399	1.9249824	25.377632	1.9366386
[LOG]	43	15.3729	14.0481	1	0.7	0	0.018454468	0.0201477	1.9082022	12.015392	1.9381812	1.9251345	10.669513	1.9441102
[LOG]	44	9.65374	8.95222	1	0.7	0	0.018831443	0.020678578	1.9119719	6.287942	1.9440932	1.9304434	5.5635023	1.950452
[LOG]	45	8.18144	7.76295	1	0.7	0	0.019045299	0.02086408	1.9141104	4.810059	1.948548	1.9322983	4.3701816	1.9531257
[LOG]	46	7.45456	7.13507	1	0.7	0	0.019206326	0.021023072	1.9157208	4.080787	1.9492657	1.9338882	3.741892	1.9510323
[LOG]	47	7.06564	6.84735	1	0.7	0	0.019394154	0.021433253	1.9175991	3.6923175	1.9456012	1.9379901	3.4456098	1.9570708
[LOG]	48	6.8326	6.63935	1	0.7	0	0.019446308	0.021085858	1.9181206	3.4584196	1.945882	1.934516	3.2440941	1.9525737
[LOG]	49	6.68424	6.50012	1	0.7	0	0.019355956	0.021524584	1.9172169	3.3117285	1.9446276	1.9389035	3.0966957	1.9577963
[LOG]	50	6.55665	6.3822	1	0.7	0	0.019421492	0.021427495	1.9178724	3.184456	1.9431473	1.9379325	2.9823256	1.9540344
[LOG]	51	6.45469	6.294	1	0.7	0	0.019386727	0.02108345	1.9175247	3.0835202	1.9421786	1.9344922	2.8980713	1.9533049
[LOG]	52	6.3747	6.23035	1	0.7	0	0.019346884	0.021535046	1.9171263	3.0037525	1.9424134	1.939008	2.8263252	1.9584084
[LOG]	53	6.29843	6.15363	1	0.7	0	0.019246457	0.020986224	1.916122	2.9286263	1.9422683	1.9335192	2.7570324	1.9557053
[LOG]	54	6.22175	6.09759	1	0.7	0	0.019069487	0.0207546	1.9143515	2.8532882	1.9429665	1.9312024	2.7066212	1.9510477
[LOG]	55	6.17011	6.04555	1	0.7	0	0.019083846	0.02116725	1.9144931	2.8012495	1.9434292	1.9353294	2.6454165	1.9583408
[LOG]	56	6.10892	6.00832	1	0.7	0	0.01907807	0.02077124	1.9144291	2.741706	1.941333	1.9313666	2.6160586	1.9529186
[LOG]	57	6.0496	5.92618	1	0.7	0	0.018986057	0.020506475	1.9135045	2.6830146	1.9419323	1.9287078	2.5372488	1.9521374
