[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	724.65	697.123	0	0	0	0.16504492	0.16537502	724.5823	92.94832	63.69372	697.05444	90.523224	62.033035
[LOG]	1	41.7408	42.4598	0	0	0	0.095636696	0.09734045	41.674206	65.602615	17.879536	42.393154	63.40404	18.62794
[LOG]	2	11.9228	12.0232	0	0	0	0.06446603	0.06514545	11.857131	46.381317	8.425279	11.9575205	44.13709	8.754384
[LOG]	3	6.40384	6.50068	0	0	0	0.048648443	0.04929277	6.3388214	33.788544	5.237017	6.435655	34.87257	5.1566725
[LOG]	4	4.61455	4.66709	0	0	0	0.04064937	0.041142702	4.5500255	26.316431	3.8929956	4.6025634	26.379187	3.8763015
[LOG]	5	3.77149	3.82695	0	0	0	0.035395846	0.035850834	3.7073486	20.884077	3.186969	3.762802	20.926163	3.24105
[LOG]	6	3.32518	3.36908	0	0	0	0.032496616	0.033292305	3.2613306	17.607393	2.8253174	3.3052235	17.61939	2.846444
[LOG]	7	3.05918	3.09326	0	0	0	0.030830331	0.031085795	2.995567	14.922063	2.6131613	3.029647	14.975311	2.6333575
[LOG]	8	2.86034	2.9073	0	0	0	0.029344654	0.030244198	2.7968988	13.070757	2.456212	2.8438547	12.905105	2.4923613
[LOG]	9	2.71655	2.74984	0	0	0	0.028542867	0.028729193	2.653222	11.658046	2.3460987	2.6865122	11.663658	2.3469462
[LOG]	10	2.63543	2.64554	0	0	0	0.028040828	0.028366078	2.5721645	10.500963	2.2720973	2.5822766	10.574815	2.2861204
[LOG]	11	2.53886	2.55899	0	0	0	0.027437517	0.027720423	2.4756324	9.67401	2.19511	2.495766	9.721968	2.2213774
[LOG]	12	2.46469	2.51406	0	0	0	0.026973512	0.02772767	2.4015052	8.927169	2.1459293	2.450869	8.96369	2.162478
[LOG]	13	2.38946	2.43613	0	0	0	0.02654015	0.02724998	2.3263333	8.35539	2.111258	2.3729975	8.376891	2.1163113
[LOG]	14	2.34894	2.3646	0	0	0	0.026418436	0.026923543	2.2859156	7.945034	2.0655918	2.3015761	7.9146767	2.0835104
[LOG]	15	2.27577	2.3153	0	0	0	0.026047938	0.02655918	2.2129135	7.598734	2.0476139	2.2524433	7.6168	2.0626397
[LOG]	16	2.21967	2.24998	0	0	0	0.025707982	0.02648304	2.1570086	7.369812	2.021143	2.1873193	7.389342	2.0257971
[LOG]	17	2.15573	2.1881	0	0	0	0.02560706	0.026300149	2.093273	7.183116	2.0076876	2.125639	7.2034273	2.0243168
[LOG]	18	2.09056	2.12433	0	0	0	0.025322156	0.025965106	2.028292	7.026487	1.9962676	2.062058	7.024482	1.991048
