[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	315.074	293.793	0.3	0.1	0	0.054592416	0.05542721	307.93607	21.171381	7.1814833	286.85657	20.538477	7.068547
[LOG]	1	23.8674	24.7788	0.3	0.1	0	0.04181286	0.04200194	20.239447	10.776695	3.2734938	21.10683	10.929723	3.2544487
[LOG]	2	9.64088	9.92626	0.3	0.1	0	0.03807873	0.038614415	7.315158	6.6685734	2.5792344	7.6125073	6.622648	2.5973742
[LOG]	3	6.37101	6.67469	0.3	0.1	0	0.036707923	0.037648994	4.6180887	4.8280673	2.3750072	4.926772	4.806758	2.3889632
[LOG]	4	5.04065	5.15944	0.3	0.1	0	0.03523951	0.03586231	3.5989835	3.8225186	2.2804084	3.7115893	3.832042	2.3136785
[LOG]	5	4.33563	4.39321	0.3	0.1	0	0.034631435	0.035467602	3.0990343	3.157574	2.2254674	3.1580791	3.1505587	2.2318888
[LOG]	6	3.86843	3.92118	0.3	0.1	0	0.03370016	0.03436942	2.7839124	2.6666608	2.1780877	2.8319476	2.6716046	2.210452
[LOG]	7	3.54033	3.62456	0.3	0.1	0	0.032802552	0.034009952	2.584539	2.2490745	2.1442037	2.6651888	2.2496302	2.1783056
[LOG]	8	3.27999	3.31337	0.3	0.1	0	0.032278612	0.033046752	2.4453263	1.8526267	2.122781	2.4760947	1.8475949	2.16396
[LOG]	9	3.07354	3.08152	0.3	0.1	0	0.031535447	0.03150041	2.3407218	1.5238644	2.091116	2.349544	1.5079889	2.1303077
[LOG]	10	2.89567	2.95052	0.3	0.1	0	0.030433431	0.031411372	2.2498596	1.2382374	2.0784614	2.3011243	1.2392968	2.1111274
[LOG]	11	2.74935	2.7799	0.3	0.1	0	0.029804587	0.0298728	2.1784086	0.99533296	2.0591447	2.204168	1.0022545	2.0863004
[LOG]	12	2.6447	2.6533	0.3	0.1	0	0.02923199	0.029574694	2.1409607	0.7788979	2.0372105	2.1448247	0.7802413	2.0805252
[LOG]	13	2.53295	2.55257	0.3	0.1	0	0.028318748	0.029043898	2.0844202	0.59741896	2.0303693	2.1022804	0.5992258	2.042562
[LOG]	14	2.44931	2.47706	0.3	0.1	0	0.027651424	0.02839084	2.0469446	0.45245418	2.004433	2.0713294	0.45603865	2.027279
[LOG]	15	2.38751	2.41066	0.3	0.1	0	0.02740562	0.027683401	2.0212882	0.3402147	1.9806373	2.04077	0.34134105	2.013926
[LOG]	16	2.32758	2.3532	0.3	0.1	0	0.026754754	0.027150951	1.9878632	0.25952613	1.9586731	2.010569	0.26019585	1.9857297
[LOG]	17	2.28814	2.30911	0.3	0.1	0	0.026575534	0.026897376	1.968215	0.20216587	1.9340271	1.9868556	0.2034173	1.9535391
[LOG]	18	2.2503	2.26451	0.3	0.1	0	0.026065476	0.02631155	1.9449176	0.1622527	1.9097228	1.9568515	0.16294125	1.9303643
[LOG]	19	2.2199	2.23933	0.3	0.1	0	0.025593335	0.026192741	1.9248719	0.13323893	1.8947573	1.9418787	0.13413335	1.9162995
[LOG]	20	2.2	2.21135	0.3	0.1	0	0.025511509	0.025695331	1.9131384	0.112224005	1.877668	1.923241	0.11319396	1.8872459
[LOG]	21	2.1785	2.19732	0.3	0.1	0	0.024994465	0.0255575	1.8977156	0.096496195	1.8657318	1.9153047	0.09699824	1.8765655
[LOG]	22	2.16781	2.17751	0.3	0.1	0	0.02497744	0.025241366	1.8915582	0.08352662	1.8609183	1.8995981	0.084370814	1.8749455
[LOG]	23	2.15813	2.16759	0.3	0.1	0	0.02470169	0.024892086	1.886159	0.07263153	1.8521926	1.8943458	0.07232389	1.8658912
[LOG]	24	2.14975	2.16058	0.3	0.1	0	0.024472576	0.024730846	1.8809258	0.06320252	1.8503525	1.890744	0.06294102	1.8612422
[LOG]	25	2.14318	2.15816	0.3	0.1	0	0.024272168	0.024813395	1.8771008	0.0549588	1.848871	1.8913726	0.05533646	1.8547692
[LOG]	26	2.13619	2.14981	0.3	0.1	0	0.023954501	0.024378054	1.8726358	0.047592226	1.8468007	1.8851417	0.048661422	1.8547462
[LOG]	27	2.13199	2.13842	0.3	0.1	0	0.023861475	0.024132472	1.8708481	0.041919634	1.8409027	1.8764118	0.0415403	1.8507043
[LOG]	28	2.12867	2.13165	0.3	0.1	0	0.023650806	0.02374425	1.8691994	0.03683123	1.8407227	1.8711504	0.036810912	1.8510315
[LOG]	29	2.12369	2.13718	0.3	0.1	0	0.02355068	0.024008507	1.865816	0.032383833	1.8394501	1.878637	0.032448906	1.8459346
[LOG]	30	2.12061	2.1354	0.3	0.1	0	0.02340055	0.023987532	1.863925	0.02865563	1.8402019	1.8778807	0.028834036	1.8479389
[LOG]	31	2.11733	2.12491	0.3	0.1	0	0.023244543	0.023609553	1.8618234	0.02549346	1.839273	1.8687743	0.025765548	1.84477
[LOG]	32	2.11368	2.12216	0.3	0.1	0	0.023170434	0.023462245	1.8593762	0.023288403	1.8354728	1.8672334	0.02320165	1.8419826
[LOG]	33	2.10854	2.11574	0.3	0.1	0	0.023009157	0.023322398	1.855429	0.020955153	1.8324564	1.861775	0.020875568	1.8412422
[LOG]	34	2.10654	2.11482	0.3	0.1	0	0.02297482	0.02333879	1.8543469	0.018805876	1.8315532	1.861658	0.019277982	1.8398521
