[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	745.633	779.977	0.3	0.1	0	0.16709027	0.15953866	712.3901	91.19208	58.168827	744.9115	97.248825	58.2302
[LOG]	1	57.943	53.1474	0.3	0.1	0	0.09707375	0.088870145	41.324562	51.128662	12.123809	37.68732	47.5981	11.132237
[LOG]	2	21.3105	20.2559	0.3	0.1	0	0.06586534	0.059540607	11.889335	29.332159	5.542799	10.788482	29.49879	5.505574
[LOG]	3	12.9155	12.0458	0.3	0.1	0	0.05053343	0.04526768	6.513491	19.797329	3.956484	5.8395925	19.19973	3.7912464
[LOG]	4	9.22893	8.81484	0.3	0.1	0	0.042012226	0.03752865	4.692499	13.79709	3.3009143	4.261532	13.898877	3.16434
[LOG]	5	7.483	7.23167	0.3	0.1	0	0.037031073	0.033716306	3.8894699	10.77367	2.9408605	3.609037	10.881213	2.9093018
[LOG]	6	6.44648	6.16295	0.3	0.1	0	0.034069654	0.030649593	3.4227102	8.938834	2.7463179	3.1618707	8.886141	2.677484
[LOG]	7	5.76023	5.51663	0.3	0.1	0	0.031903062	0.028578512	3.1558564	7.572048	2.6516461	2.9328144	7.5104265	2.630865
[LOG]	8	5.31133	5.104	0.3	0.1	0	0.03063871	0.027840266	2.9659772	6.7411137	2.553759	2.766158	6.7461724	2.4634485
[LOG]	9	4.9431	4.75366	0.3	0.1	0	0.029727917	0.026889222	2.8335314	5.9809513	2.4765935	2.659279	5.946831	2.4270084
[LOG]	10	4.69857	4.51595	0.3	0.1	0	0.029088853	0.026025055	2.718107	5.5703588	2.4179626	2.5581717	5.50578	2.3848188
[LOG]	11	4.46395	4.32821	0.3	0.1	0	0.028484013	0.026166312	2.6258051	5.1145897	2.362875	2.492226	5.119481	2.3266447
[LOG]	12	4.27641	4.11755	0.3	0.1	0	0.028087296	0.025408838	2.5390835	4.796117	2.3110156	2.4170911	4.689533	2.2620702
[LOG]	13	4.11177	3.96441	0.3	0.1	0	0.027643248	0.025195312	2.4756193	4.471803	2.272897	2.338363	4.4615684	2.2025905
[LOG]	14	3.9604	3.7966	0.3	0.1	0	0.027126243	0.024569884	2.4083533	4.2045817	2.2342243	2.253658	4.192817	2.1785479
[LOG]	15	3.82054	3.68193	0.3	0.1	0	0.026960231	0.02447444	2.347231	3.9584794	2.1857934	2.2239642	3.9232643	2.1379478
[LOG]	16	3.68711	3.55406	0.3	0.1	0	0.0265064	0.024050789	2.281119	3.747899	2.144827	2.1645424	3.7085733	2.0980809
[LOG]	17	3.56828	3.43189	0.3	0.1	0	0.026212882	0.023802103	2.220054	3.5638778	2.119693	2.100621	3.5202417	2.0810125
[LOG]	18	3.4431	3.35435	0.3	0.1	0	0.02617772	0.023724565	2.1539273	3.3773859	2.0892081	2.0554588	3.4237418	2.0473096
[LOG]	19	3.31963	3.22458	0.3	0.1	0	0.025925165	0.023298621	2.0847218	3.2047446	2.064789	1.9946105	3.19943	2.0313206
[LOG]	20	3.19382	3.1294	0.3	0.1	0	0.02546742	0.023383226	2.0028458	3.0664697	2.0401433	1.9401401	3.0702546	2.0116682
[LOG]	21	3.09413	3.03366	0.3	0.1	0	0.025093315	0.022953533	1.9449451	2.9304893	2.0292351	1.8836805	2.9382823	2.0138147
[LOG]	22	3.01473	2.96197	0.3	0.1	0	0.024547702	0.022691764	1.904213	2.804355	2.0193384	1.8565723	2.7932649	2.0014148
[LOG]	23	2.95533	2.91579	0.3	0.1	0	0.023889666	0.022108292	1.8814979	2.6812067	2.0201125	1.8478632	2.6641822	2.01214
[LOG]	24	2.91195	2.88332	0.3	0.1	0	0.023641443	0.02223052	1.8750664	2.5638468	2.0012977	1.8448639	2.5699842	1.9986316
[LOG]	25	2.87956	2.85462	0.3	0.1	0	0.023586072	0.022255577	1.8753606	2.4576883	1.9922823	1.8522198	2.4558337	1.9798248
[LOG]	26	2.84241	2.81528	0.3	0.1	0	0.023423998	0.022057159	1.8725975	2.3496826	1.9726896	1.8490621	2.3394196	1.9675587
[LOG]	27	2.80816	2.7849	0.3	0.1	0	0.02326788	0.021809151	1.8699219	2.2488012	1.9608359	1.842823	2.2684808	1.9400984
[LOG]	28	2.77426	2.74761	0.3	0.1	0	0.023201149	0.021772979	1.8655925	2.155633	1.9465516	1.8390843	2.1638827	1.9203569
[LOG]	29	2.7435	2.70796	0.3	0.1	0	0.02321178	0.021592906	1.8636098	2.0638704	1.9363784	1.8321818	2.0590422	1.9096727
[LOG]	30	2.71971	2.68367	0.3	0.1	0	0.023208713	0.021586945	1.8620387	1.9919149	1.9322532	1.8320416	1.9823775	1.9004456
[LOG]	31	2.6902	2.65579	0.3	0.1	0	0.023090186	0.021558182	1.8578442	1.9110446	1.923688	1.8264776	1.9098293	1.8969247
[LOG]	32	2.66531	2.63121	0.3	0.1	0	0.023096537	0.02161259	1.8562076	1.8358827	1.918487	1.8252809	1.8356276	1.8874549
[LOG]	33	2.64199	2.60695	0.3	0.1	0	0.023122754	0.021640727	1.8551058	1.7647281	1.9114151	1.8236476	1.7577491	1.8965499
[LOG]	34	2.62146	2.58717	0.3	0.1	0	0.023069538	0.021654148	1.8542197	1.7016702	1.9058403	1.8236365	1.6989565	1.8769062
[LOG]	35	2.59991	2.56944	0.3	0.1	0	0.023070503	0.021657376	1.8525783	1.6379437	1.8994788	1.8215058	1.6462038	1.8807434
[LOG]	36	2.58065	2.54697	0.3	0.1	0	0.023017159	0.021658426	1.8513167	1.5806116	1.8928124	1.8219208	1.5730213	1.872768
