[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	29.3694	35.7139	0.5	0.1	0	0.031291008	0.032137945	13.302673	31.449713	2.714082	19.514591	31.703985	2.7686477
[LOG]	1	14.6388	14.6069	0.5	0.1	0	0.025224643	0.025998099	3.0029833	22.7227	2.0467772	3.1059182	22.45331	2.0461888
[LOG]	2	10.8076	10.8812	0.5	0.1	0	0.027516631	0.028369177	2.3991432	16.224865	2.2649508	2.4681137	16.234642	2.2622933
[LOG]	3	8.48119	8.65155	0.5	0.1	0	0.027146274	0.028031237	2.2093153	11.957793	2.2369077	2.2487922	12.21872	2.2411208
[LOG]	4	7.07084	7.03532	0.5	0.1	0	0.02625823	0.02671763	2.1502824	9.27814	2.124214	2.1680164	9.171497	2.124887
[LOG]	5	6.03827	6.03098	0.5	0.1	0	0.025581961	0.026136477	2.0985553	7.333744	2.04001	2.0949488	7.3275104	2.034264
[LOG]	6	5.30496	5.37645	0.5	0.1	0	0.024947012	0.025574503	2.0479605	5.975532	2.0060058	2.0681634	6.0771785	2.01061
[LOG]	7	4.80406	4.8228	0.5	0.1	0	0.024591703	0.025119271	2.0250275	5.0247526	1.9822208	2.0452378	5.0203238	1.9896857
[LOG]	8	4.40787	4.438	0.5	0.1	0	0.024261123	0.024656612	2.004448	4.2754307	1.9748886	2.0122225	4.320339	1.973888
[LOG]	9	4.08463	4.10194	0.5	0.1	0	0.024010437	0.024626212	1.9749506	3.689559	1.9689324	2.0059028	3.6612406	1.9740839
[LOG]	10	3.84522	3.84644	0.5	0.1	0	0.023955824	0.024509888	1.9690262	3.2245252	1.9615462	1.9889368	3.186143	1.9665624
[LOG]	11	3.646	3.68227	0.5	0.1	0	0.023748808	0.024422493	1.9604133	2.845919	1.9508411	1.9750613	2.8880367	1.9564842
[LOG]	12	3.50021	3.51385	0.5	0.1	0	0.023626273	0.024181843	1.9540194	2.5695372	1.9411789	1.9688476	2.5659606	1.9471277
[LOG]	13	3.35779	3.3764	0.5	0.1	0	0.023504565	0.02404738	1.9410582	2.312557	1.9339075	1.9581164	2.3143637	1.940348
