[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	5.67412	5.86889	0.2	0.4	0	0.08179958	0.084742524	3.5569298	1.3184487	4.4321337	3.6491768	1.3404366	4.677455
[LOG]	1	3.3484	3.39447	0.2	0.4	0	0.045893878	0.04518776	2.195079	1.0920312	2.1383486	2.185728	1.2749372	2.1854582
[LOG]	2	3.1	3.06441	0.2	0.4	0	0.03536631	0.03314878	2.0427678	0.9960776	1.9489448	2.0156696	0.9782437	1.9366513
[LOG]	3	3.01704	2.97965	0.2	0.4	0	0.028251879	0.025907999	1.9738806	0.8872394	1.9708449	1.9481348	0.88765556	1.9415479
[LOG]	4	2.97556	2.95977	0.2	0.4	0	0.025063802	0.024060188	1.9485669	0.7960289	1.9784561	1.9397159	0.8058886	1.9561834
[LOG]	5	2.97308	2.96587	0.2	0.4	0	0.026031742	0.025998173	1.9639213	0.70974684	1.9792278	1.9617927	0.70870596	1.9670398
[LOG]	6	2.96402	2.97724	0.2	0.4	0	0.027164692	0.028060026	1.9752654	0.6369283	1.9666818	1.9902749	0.6315028	1.9649326
[LOG]	7	2.9213	2.92964	0.2	0.4	0	0.025557622	0.025928972	1.9570098	0.56503755	1.9434341	1.9647809	0.5669021	1.9439218
[LOG]	8	2.88137	2.87985	0.2	0.4	0	0.023990506	0.023639807	1.9382291	0.50574166	1.9220494	1.9359612	0.50462973	1.9244606
[LOG]	9	2.85337	2.84602	0.2	0.4	0	0.023341674	0.022725556	1.9269177	0.45372677	1.9080517	1.9212474	0.455293	1.9030757
[LOG]	10	2.83973	2.82722	0.2	0.4	0	0.023455672	0.02272147	1.9242724	0.4072319	1.9055779	1.9162494	0.40504563	1.8954434
[LOG]	11	2.82652	2.82171	0.2	0.4	0	0.02344811	0.02295925	1.9211768	0.36427948	1.9036752	1.9178964	0.36597237	1.8990103
[LOG]	12	2.81358	2.81045	0.2	0.4	0	0.023393393	0.023199242	1.9166108	0.33112556	1.9014218	1.9157553	0.32843468	1.8970809
[LOG]	13	2.79523	2.79307	0.2	0.4	0	0.02308704	0.022857368	1.9075009	0.30056965	1.8957531	1.9056729	0.30050492	1.8949459
[LOG]	14	2.77904	2.77362	0.2	0.4	0	0.022977622	0.022639405	1.900587	0.27173755	1.8891219	1.8978441	0.26926863	1.8836522
[LOG]	15	2.76649	2.75862	0.2	0.4	0	0.022955075	0.022586286	1.8941464	0.2464828	1.8885437	1.8912736	0.24511829	1.8767236
[LOG]	16	2.7527	2.74313	0.2	0.4	0	0.022945402	0.022464795	1.8896348	0.22065212	1.8802229	1.8840339	0.22236592	1.8694342
[LOG]	17	2.73778	2.73218	0.2	0.4	0	0.02289313	0.022528846	1.8815712	0.200831	1.8748231	1.8769014	0.20252235	1.8716404
[LOG]	18	2.7219	2.71601	0.2	0.4	0	0.022863457	0.022539275	1.8735489	0.17915535	1.8676469	1.8699248	0.18196602	1.8605763
[LOG]	19	2.70834	2.70104	0.2	0.4	0	0.02286196	0.022643173	1.8667994	0.16263099	1.8604012	1.8626816	0.16204439	1.8527449
