[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	400.945	411.244	0.1	0.1	0	0.062713996	0.061384324	107.912834	2756.1548	173.38338	105.870125	2882.9375	170.02156
[LOG]	1	65.801	71.6009	0.1	0.1	0	0.020549452	0.019984448	36.457172	250.86696	41.784008	36.169044	312.33917	41.19228
[LOG]	2	44.8737	45.5981	0.1	0.1	0	0.01680677	0.016610015	33.996895	73.60921	34.372803	33.814148	82.862816	34.1902
[LOG]	3	41.2014	40.5946	0.1	0.1	0	0.014443075	0.014322993	32.98859	48.044422	33.30553	32.81982	43.80368	33.166306
[LOG]	4	39.3411	39.2937	0.1	0.1	0	0.01340525	0.013215878	32.34243	36.29556	32.92362	32.15041	37.904964	32.760902
[LOG]	5	38.5549	38.4008	0.1	0.1	0	0.012831982	0.012562645	31.94135	33.066967	32.313213	31.695488	34.14331	32.154896
[LOG]	6	37.5491	37.5084	0.1	0.1	0	0.012168522	0.011933339	31.242775	30.42329	31.896313	30.991732	32.704212	31.718582
[LOG]	7	36.9339	36.6909	0.1	0.1	0	0.0118307145	0.011590097	30.85211	28.514936	31.568523	30.627378	28.539885	31.360878
[LOG]	8	36.6195	36.2014	0.1	0.1	0	0.0115104625	0.0112244515	30.615984	27.940273	31.367935	30.330795	26.846163	31.133184
[LOG]	9	36.2457	35.9725	0.1	0.1	0	0.011369304	0.0110899	30.41639	26.432669	31.139372	30.16353	26.4759	30.892218
[LOG]	10	35.8603	35.5866	0.1	0.1	0	0.011297142	0.011024995	30.215672	24.800667	30.929716	29.955996	24.884933	30.70494
[LOG]	11	35.6396	35.2569	0.1	0.1	0	0.011202041	0.010922823	30.046646	24.431063	30.787691	29.795456	23.310575	30.592505
[LOG]	12	35.2801	34.9698	0.1	0.1	0	0.011179555	0.010920525	29.800674	23.424257	30.66339	29.534307	23.193623	30.45554
[LOG]	13	34.6525	34.1915	0.1	0.1	0	0.011321212	0.011085532	29.262714	22.648108	30.546776	28.880484	22.106655	30.299824
