[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	445.209	450.488	0.5	0.1	0	0.09350903	0.092172615	329.6376	71.06504	799.5628	333.38535	70.99805	815.2121
[LOG]	1	90.9878	90.7551	0.5	0.1	0	0.034975458	0.03414306	53.87423	65.33754	43.64647	53.59422	65.42386	43.687428
[LOG]	2	73.03	72.9844	0.5	0.1	0	0.026083607	0.025869275	41.31471	56.033974	36.18753	41.304356	55.96915	36.159042
[LOG]	3	64.2248	64.0942	0.5	0.1	0	0.019358326	0.019008923	37.59077	45.77578	36.669945	37.459465	45.80783	36.51641
[LOG]	4	57.3977	57.1875	0.5	0.1	0	0.017500728	0.0169985	35.658173	35.802555	37.59365	35.456905	35.830093	37.36703
[LOG]	5	53.0096	52.7181	0.5	0.1	0	0.01579456	0.015476262	34.417107	30.094185	34.66543	34.09102	30.210686	34.42896
[LOG]	6	50.5935	50.1924	0.5	0.1	0	0.014872043	0.014533506	33.804092	26.555376	34.3278	33.44071	26.526697	34.093857
[LOG]	7	48.3859	48.0397	0.5	0.1	0	0.013600057	0.013145843	33.1026	23.593464	34.075695	32.75978	23.63668	33.825394
[LOG]	8	46.5383	46.1586	0.5	0.1	0	0.013101382	0.012638896	32.708683	20.75062	33.750874	32.33515	20.789576	33.494404
[LOG]	9	44.9488	44.5448	0.5	0.1	0	0.012649522	0.01223927	32.260216	18.550213	33.342194	31.895075	18.529444	33.057343
