[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	train cost(potential)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)	valid. cost(potential)
[LOG]	0	119.941	103.06	0.9	0.1	0.5	0.080232166	0.07877417	7.3649025	2.9279687	233.75955	172.98561	7.093624	2.907183	96.02814	167.34914
[LOG]	1	86.1863	84.8676	0.9	0.1	0.5	0.040801372	0.040334087	2.4267318	2.6275566	2.2036402	162.20552	2.4138525	2.6212528	2.2084088	159.60437
[LOG]	2	78.7471	92.9322	0.9	0.1	0.5	0.031301714	0.03099272	2.0912285	2.402182	2.0942488	148.42639	2.083077	2.4159987	2.097497	176.7874
[LOG]	3	72.1172	80.7585	0.9	0.1	0.5	0.030562203	0.031319868	2.020009	2.2009857	2.2059853	135.64915	2.033219	2.2167273	2.2136574	152.87541
[LOG]	4	61.8198	73.2774	0.9	0.1	0.5	0.03249339	0.032646585	2.021635	2.0048203	2.3382828	115.37836	2.020185	2.033832	2.3719008	138.23756
[LOG]	5	61.3229	65.0513	0.9	0.1	0.5	0.033132154	0.03488604	2.0170145	1.7821014	2.3792722	114.78753	2.0418253	1.7927024	2.423105	122.16669
[LOG]	6	58.5756	52.5801	0.9	0.1	0.5	0.032234274	0.03310028	2.0061994	1.5598298	2.3609583	109.719475	2.0182784	1.5812857	2.3927777	97.659325
[LOG]	7	54.1342	53.36	0.9	0.1	0.5	0.030228069	0.031034293	1.9827294	1.3243564	2.2805576	101.32463	1.9924272	1.3527615	2.3215554	99.69737
[LOG]	8	55.3879	52.4398	0.9	0.1	0.5	0.028501052	0.029287204	1.9621402	1.117592	2.2291424	104.25663	1.9737206	1.1017029	2.2206144	98.36754
[LOG]	9	49.9434	49.196	0.9	0.1	0.5	0.027433014	0.027320711	1.9491304	0.9188255	2.1536844	93.76737	1.94547	0.92694205	2.1390786	92.2682
[LOG]	10	43.5826	53.9344	0.9	0.1	0.5	0.026072195	0.026316132	1.9335512	0.7538818	2.0786555	81.38952	1.9347501	0.7406287	2.069825	102.11645
[LOG]	11	41.4789	44.1027	0.9	0.1	0.5	0.025342159	0.02551938	1.9222912	0.6296984	2.0316446	77.43805	1.9204143	0.63108367	2.0311842	82.68699
[LOG]	12	42.3853	36.9135	0.9	0.1	0.5	0.024670823	0.025229871	1.9099648	0.53025013	1.9729041	79.46676	1.9169194	0.5308302	1.9852868	68.505875
[LOG]	13	37.7549	38.2554	0.9	0.1	0.5	0.024001794	0.024391163	1.8984202	0.46851662	1.9333749	70.348564	1.9019644	0.46814972	1.9335966	71.34313
[LOG]	14	36.0325	38.2939	0.9	0.1	0.5	0.02329363	0.023983538	1.8777418	0.4257972	1.9001874	67.02908	1.8873935	0.4358729	1.9071252	71.51321
[LOG]	15	38.0822	35.976	0.9	0.1	0.5	0.022982275	0.023469115	1.8516976	0.40025476	1.8669258	71.23385	1.8615947	0.40095	1.8691299	66.99995
[LOG]	16	34.7732	32.8785	0.9	0.1	0.5	0.022680717	0.023140097	1.8374158	0.38719767	1.8602597	64.6696	1.8483763	0.38920915	1.8652784	60.853737
[LOG]	17	32.7747	37.3414	0.9	0.1	0.5	0.022619858	0.023073284	1.8388275	0.37186202	1.8508795	60.699326	1.8531102	0.3735317	1.861626	69.79907
[LOG]	18	30.369	27.9435	0.9	0.1	0.5	0.022402786	0.022766454	1.8288505	0.35599518	1.8326743	55.94006	1.8361537	0.35394326	1.8431591	51.076176
[LOG]	19	28.5774	27.2592	0.9	0.1	0.5	0.022368893	0.022752658	1.8299074	0.34667823	1.8289173	52.372314	1.83644	0.34312093	1.838581	49.727383
[LOG]	20	28.3482	26.192	0.9	0.1	0.5	0.022306265	0.02273133	1.8258646	0.3277969	1.8224726	51.95735	1.8341953	0.33951628	1.8315457	47.605343
[LOG]	21	29.4357	26.0756	0.9	0.1	0.5	0.022288973	0.022757486	1.8239207	0.3094515	1.8200026	54.169838	1.8349	0.3175865	1.8315784	47.410748
[LOG]	22	24.3867	23.3142	0.9	0.1	0.5	0.02236449	0.02292164	1.8255105	0.29948714	1.8217496	44.086376	1.8387954	0.29628593	1.835233	41.917957
[LOG]	23	25.7166	23.8634	0.9	0.1	0.5	0.022302024	0.022715379	1.8228424	0.28131676	1.816205	46.785187	1.8313255	0.27747715	1.8269824	43.066628
[LOG]	24	19.8877	25.1675	0.9	0.1	0.5	0.02228427	0.022748437	1.8228551	0.26991808	1.8156885	35.148106	1.8331691	0.26922923	1.8263524	45.686176
[LOG]	25	21.5291	21.163	0.9	0.1	0.5	0.022310881	0.022764957	1.8225781	0.25802717	1.8146524	38.45317	1.8329434	0.2543182	1.8233663	37.705067
[LOG]	26	21.2265	19.1642	0.9	0.1	0.5	0.022242922	0.022621531	1.8207071	0.24907118	1.8126084	37.86816	1.829644	0.2540515	1.8239844	33.714592
[LOG]	27	20.9004	22.6241	0.9	0.1	0.5	0.022312818	0.022757022	1.821736	0.2389892	1.8140057	37.23199	1.8318564	0.24180393	1.8233752	40.65218
[LOG]	28	18.6923	24.1134	0.9	0.1	0.5	0.022266539	0.022668334	1.8206912	0.23050088	1.8111563	32.833702	1.829645	0.23092335	1.8191237	43.655697
[LOG]	29	20.0903	18.788	0.9	0.1	0.5	0.022227867	0.02274811	1.8195658	0.22546555	1.809829	35.641247	1.8311474	0.22409843	1.8205805	33.013878
[LOG]	30	19.3722	20.2064	0.9	0.1	0.5	0.022279702	0.022713339	1.8204834	0.21910606	1.812035	34.214222	1.8301984	0.22390923	1.8213437	35.852722
[LOG]	31	18.1195	18.5208	0.9	0.1	0.5	0.022200773	0.022642765	1.8186085	0.21353675	1.8087685	31.72326	1.8279617	0.21363597	1.8196476	32.504677
