[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	1736.21	1757.54	1	1	0	0.06565835	0.0671697	210.86058	1522.0719	3.1968794	219.34018	1534.9039	3.2189584
[LOG]	1	24.2747	24.2832	1	1	0	0.21167031	0.21059921	3.935829	15.366582	4.8963747	3.920686	15.389622	4.8969355
[LOG]	2	8.87578	8.8708	1	1	0	0.09838809	0.09577646	2.7250137	2.6185343	3.4494941	2.6986957	2.628844	3.4605222
[LOG]	3	7.39264	7.34944	1	1	0	0.07627929	0.0749395	2.4867086	1.7426981	3.075017	2.4724505	1.7442291	3.0445461
[LOG]	4	7.27747	7.25781	1	1	0	0.07202176	0.07095078	2.4426284	1.6685421	3.073681	2.432594	1.6685578	3.0640378
[LOG]	5	7.42398	7.3411	1	1	0	0.06645834	0.067742206	2.3869228	1.6305269	3.3104563	2.4000776	1.6311557	3.213792
[LOG]	6	7.15647	7.14618	1	1	0	0.058872875	0.059001133	2.3114736	1.5845397	3.1620774	2.3127997	1.5863156	3.1486857
[LOG]	7	6.88946	6.89849	1	1	0	0.054756775	0.054004297	2.2706766	1.5505351	2.968291	2.2633379	1.551832	2.9833703
[LOG]	8	6.62844	6.65369	1	1	0	0.051244333	0.051382698	2.2358537	1.5270251	2.7643495	2.2373257	1.5272717	2.787879
[LOG]	9	6.34237	6.34019	1	1	0	0.045543727	0.04660985	2.1790614	1.4941318	2.5667486	2.1897113	1.4959999	2.5520513
[LOG]	10	6.05638	6.06109	1	1	0	0.040656462	0.04148879	2.1300542	1.4179364	2.4046702	2.1384575	1.4217571	2.397159
[LOG]	11	5.80333	5.78598	1	1	0	0.03702033	0.037515555	2.0936713	1.2819592	2.3225868	2.098497	1.2810057	2.3013601
[LOG]	12	5.54402	5.51719	1	1	0	0.03344452	0.033119243	2.0579848	1.09643	2.283084	2.0547392	1.0959808	2.2599504
[LOG]	13	5.25849	5.26533	1	1	0	0.03045473	0.030988054	2.0281718	0.8956632	2.2267892	2.0335534	0.89349806	2.2304199
[LOG]	14	5.01288	5.0276	1	1	0	0.029018141	0.029967215	2.013858	0.7116187	2.1783152	2.0233386	0.71120524	2.1839674
[LOG]	15	4.79672	4.81477	1	1	0	0.02731794	0.027635824	1.9968262	0.57604575	2.1136804	1.9999869	0.57578844	2.1288238
[LOG]	16	4.66063	4.65764	1	1	0	0.026198607	0.02624618	1.9856277	0.49510774	2.0688536	1.9861	0.49477342	2.0657206
