[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	11.2028	11.1822	0.2	0.9	0	0.031226292	0.03113624	6.0545835	1.4997078	5.2948146	6.0661383	1.4788251	5.2637386
[LOG]	1	6.11746	6.15361	0.2	0.9	0	0.027931843	0.02805656	3.1556637	1.3023486	2.9097211	3.153874	1.3056293	2.9511557
[LOG]	2	4.88299	4.91772	0.2	0.9	0	0.028010469	0.027937038	2.4938428	1.1427433	2.3088267	2.528247	1.1247439	2.3131905
[LOG]	3	4.42062	4.48961	0.2	0.9	0	0.027445205	0.028168073	2.2080166	1.030482	2.1372683	2.2618525	1.0222294	2.1559389
[LOG]	4	4.22785	4.23798	0.2	0.9	0	0.026284855	0.02624601	2.1080315	0.93219966	2.0556488	2.1044335	0.94243276	2.068633
[LOG]	5	4.08877	4.09672	0.2	0.9	0	0.024760112	0.024922982	2.0337634	0.8504337	2.0015292	2.0342236	0.8544842	2.0089557
[LOG]	6	4.00162	4.00331	0.2	0.9	0	0.02399957	0.024207208	1.9881198	0.79031044	1.9686562	1.9889201	0.793499	1.9689381
[LOG]	7	3.95291	3.95512	0.2	0.9	0	0.023854105	0.024147732	1.9615502	0.7344946	1.9565139	1.9671298	0.71470433	1.957171
[LOG]	8	3.91703	3.93273	0.2	0.9	0	0.023647625	0.023870891	1.9445401	0.68044734	1.9477835	1.9549245	0.67993593	1.9538084
[LOG]	9	3.89111	3.90051	0.2	0.9	0	0.023224473	0.023489637	1.9282805	0.64394873	1.9455428	1.9337456	0.6297239	1.9530813
[LOG]	10	3.86534	3.87323	0.2	0.9	0	0.023086278	0.023294585	1.9225926	0.6020747	1.9330515	1.9264472	0.6066077	1.9365187
[LOG]	11	3.84199	3.84298	0.2	0.9	0	0.022729434	0.022807874	1.9131305	0.572431	1.9247658	1.9127524	0.5689165	1.9270635
[LOG]	12	3.82789	3.83111	0.2	0.9	0	0.022529235	0.022694742	1.9068897	0.5521096	1.9211584	1.9070659	0.5466565	1.9257507
[LOG]	13	3.81316	3.81625	0.2	0.9	0	0.022468237	0.022532767	1.9034505	0.5275758	1.9147333	1.9032702	0.5295333	1.9179288
[LOG]	14	3.80025	3.79793	0.2	0.9	0	0.02232899	0.022408485	1.8985416	0.50648856	1.9112201	1.8979474	0.5063251	1.9093416
[LOG]	15	3.78519	3.79772	0.2	0.9	0	0.022087617	0.022319522	1.8922218	0.4837524	1.9072812	1.8969445	0.49246716	1.9140193
[LOG]	16	3.77642	3.77919	0.2	0.9	0	0.02193516	0.02210027	1.8903015	0.47004187	1.9034684	1.8908861	0.46780726	1.9063915
[LOG]	17	3.76441	3.77499	0.2	0.9	0	0.021838583	0.02203257	1.8852314	0.4509637	1.9007654	1.8898492	0.4538871	1.9067479
[LOG]	18	3.75563	3.76184	0.2	0.9	0	0.021578211	0.02176416	1.8826236	0.43528038	1.8981787	1.885009	0.43502498	1.9024882
[LOG]	19	3.74257	3.75163	0.2	0.9	0	0.021126976	0.021384262	1.8729957	0.42597634	1.8972254	1.8799022	0.42889637	1.8989657
[LOG]	20	3.73333	3.73673	0.2	0.9	0	0.020905863	0.020965869	1.8691264	0.4161282	1.8942586	1.8702261	0.4177848	1.8964477
[LOG]	21	3.72378	3.73013	0.2	0.9	0	0.020580672	0.020688267	1.8652451	0.40359032	1.8915707	1.8677489	0.4041793	1.8957131
[LOG]	22	3.71105	3.71888	0.2	0.9	0	0.020429168	0.02064613	1.8620543	0.39418334	1.8838899	1.8664348	0.3945131	1.8876529
[LOG]	23	3.70328	3.70617	0.2	0.9	0	0.020100517	0.020211093	1.8571112	0.3866553	1.8832595	1.8596033	0.38909575	1.8831649
[LOG]	24	3.68782	3.69883	0.2	0.9	0	0.01952902	0.019763084	1.8460846	0.37910786	1.8808603	1.852052	0.37634227	1.8870729
[LOG]	25	3.67708	3.68625	0.2	0.9	0	0.019203562	0.019380338	1.8380378	0.36966136	1.8808163	1.8444998	0.3682547	1.8841414
[LOG]	26	3.66181	3.67116	0.2	0.9	0	0.018890738	0.01918664	1.8312688	0.35929656	1.8745427	1.8381538	0.36176437	1.876736
[LOG]	27	3.65424	3.65925	0.2	0.9	0	0.018450782	0.018784799	1.8226731	0.36085656	1.8761836	1.8278621	0.3598785	1.8762043
[LOG]	28	3.63355	3.63144	0.2	0.9	0	0.018068977	0.018057331	1.8082515	0.35673732	1.8709909	1.8074503	0.35842273	1.8691624
[LOG]	29	3.61889	3.62056	0.2	0.9	0	0.017744316	0.0177043	1.7983584	0.35298154	1.8673786	1.7990234	0.35692647	1.8676176
[LOG]	30	3.60222	3.59754	0.2	0.9	0	0.017303335	0.017230274	1.7834363	0.3533763	1.8661844	1.781946	0.35159114	1.8630334
[LOG]	31	3.58039	3.57556	0.2	0.9	0	0.016821854	0.016692394	1.7653164	0.3592253	1.8615707	1.7614627	0.3590178	1.8605384
[LOG]	32	3.55286	3.55934	0.2	0.9	0	0.016302237	0.016254136	1.7417127	0.37590072	1.8542775	1.7436001	0.37222394	1.8601958
[LOG]	33	3.52664	3.53096	0.2	0.9	0	0.0156206675	0.015736245	1.7165079	0.3977439	1.8489823	1.7215965	0.39771348	1.8481376
[LOG]	34	3.5015	3.50783	0.2	0.9	0	0.015007342	0.015018547	1.6907271	0.4201867	1.8453158	1.6901414	0.4182089	1.8534356
[LOG]	35	3.46948	3.4798	0.2	0.9	0	0.014273579	0.014425098	1.6592839	0.45562842	1.8372704	1.6647923	0.45227975	1.8433609
[LOG]	36	3.44336	3.45701	0.2	0.9	0	0.013390078	0.013592958	1.6274713	0.50325423	1.8333377	1.6338497	0.5052912	1.8409656
[LOG]	37	3.40433	3.41809	0.2	0.9	0	0.012473362	0.012563168	1.5903512	0.55418706	1.8201071	1.5974141	0.5568112	1.8269638
[LOG]	38	3.36983	3.37733	0.2	0.9	0	0.011661776	0.011717893	1.5598713	0.6035448	1.804821	1.5644552	0.60026354	1.8087878
[LOG]	39	3.33441	3.33828	0.2	0.9	0	0.010924845	0.01105179	1.5303196	0.6619598	1.7854408	1.5382173	0.6608876	1.7812008
[LOG]	40	3.27784	3.29102	0.2	0.9	0	0.00992515	0.010124207	1.4898871	0.71413374	1.7560241	1.498956	0.7103519	1.7614377
[LOG]	41	3.25433	3.25959	0.2	0.9	0	0.009306493	0.009275723	1.4582317	0.7749516	1.7516811	1.4641638	0.7758722	1.7507358
[LOG]	42	3.20831	3.23465	0.2	0.9	0	0.008622709	0.009004053	1.4246233	0.8110725	1.7300601	1.442215	0.8151436	1.7388743
[LOG]	43	3.15676	3.17976	0.2	0.9	0	0.00797498	0.008072261	1.3918756	0.8133028	1.7088976	1.3995972	0.8341967	1.7212312
[LOG]	44	3.10576	3.12553	0.2	0.9	0	0.0071449457	0.0073612262	1.3536536	0.7875282	1.7006247	1.3676683	0.80365527	1.7034423
[LOG]	45	3.06834	3.08293	0.2	0.9	0	0.0066828863	0.00671923	1.3232454	0.8059356	1.688985	1.3315442	0.8058074	1.6960077
[LOG]	46	3.00927	2.99452	0.2	0.9	0	0.006095203	0.0059151878	1.2803988	0.867624	1.6575558	1.2796174	0.86529046	1.6425573
[LOG]	47	2.94386	2.9664	0.2	0.9	0	0.005567232	0.005639506	1.2392514	0.87150675	1.6300274	1.2536498	0.8827765	1.6365769
