[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	15.1015	15.1817	0.5	0.4	0	0.032408267	0.033175524	7.04928	14.239658	2.13879	7.1372795	14.205161	2.1622574
[LOG]	1	8.34521	8.3766	0.5	0.4	0	0.026741982	0.027043505	2.0991116	10.821227	1.8989986	2.1006484	10.88417	1.8949527
[LOG]	2	6.75041	6.77231	0.5	0.4	0	0.024227591	0.024146942	1.9188081	8.008611	1.8807366	1.9083574	8.088268	1.8620381
[LOG]	3	5.61418	5.63631	0.5	0.4	0	0.022622664	0.022352688	1.8727857	5.83199	1.8783221	1.8663478	5.9050035	1.8584948
[LOG]	4	4.80696	4.83948	0.5	0.4	0	0.02190647	0.022040818	1.8462863	4.2762456	1.8736546	1.8545334	4.329057	1.868331
[LOG]	5	4.25628	4.28273	0.5	0.4	0	0.022092104	0.022197334	1.8432858	3.1779037	1.8798094	1.8479332	3.2254412	1.8749088
[LOG]	6	3.8319	3.8572	0.5	0.4	0	0.022222418	0.02258827	1.840202	2.3380299	1.8787988	1.8498735	2.372658	1.8745722
[LOG]	7	3.53291	3.52976	0.5	0.4	0	0.022282772	0.022058064	1.8387152	1.7552788	1.8657625	1.8362184	1.7582023	1.8604748
[LOG]	8	3.30345	3.31256	0.5	0.4	0	0.02213915	0.022044847	1.8313816	1.3182427	1.8588907	1.8291845	1.3487631	1.8489842
[LOG]	9	3.13762	3.12847	0.5	0.4	0	0.02192168	0.021774665	1.8246034	1.0066035	1.8528836	1.8220145	1.0029597	1.8410504
[LOG]	10	3.01573	3.01815	0.5	0.4	0	0.021631025	0.02146969	1.8181958	0.7732041	1.8578879	1.8141506	0.7897344	1.8533963
[LOG]	11	2.92524	2.92776	0.5	0.4	0	0.021480585	0.021266637	1.813142	0.6035785	1.8580055	1.807381	0.6169803	1.8619659
[LOG]	12	2.86371	2.85956	0.5	0.4	0	0.021508856	0.021144845	1.8120495	0.48752093	1.8534093	1.8050909	0.49792457	1.8474149
[LOG]	13	2.81574	2.81209	0.5	0.4	0	0.021324575	0.021224532	1.8076444	0.4024086	1.8522422	1.8038667	0.40350562	1.8511828
[LOG]	14	2.78309	2.78558	0.5	0.4	0	0.021324135	0.021386443	1.8061056	0.34040305	1.8533193	1.8064641	0.34567395	1.8520552
[LOG]	15	2.75598	2.75202	0.5	0.4	0	0.021368183	0.02115076	1.8066123	0.29399446	1.8436284	1.8018497	0.29569763	1.8435177
[LOG]	16	2.73467	2.73302	0.5	0.4	0	0.02124675	0.021119043	1.8021098	0.26056418	1.8446977	1.8000787	0.2617915	1.8441133
[LOG]	17	2.72049	2.72376	0.5	0.4	0	0.021246329	0.021422973	1.802487	0.23322743	1.843646	1.8064332	0.23411882	1.8408237
[LOG]	18	2.70754	2.70589	0.5	0.4	0	0.021237213	0.02116429	1.8023028	0.21193248	1.8393518	1.8014418	0.21097535	1.838566
[LOG]	19	2.69806	2.69329	0.5	0.4	0	0.021267867	0.021170355	1.8020319	0.1940704	1.8395959	1.7997893	0.19303834	1.8345864
[LOG]	20	2.68801	2.69099	0.5	0.4	0	0.021121107	0.021283664	1.7986492	0.17820564	1.8437306	1.8031877	0.17719427	1.8410988
[LOG]	21	2.68045	2.67667	0.5	0.4	0	0.021227412	0.021101093	1.8012424	0.1644037	1.8364984	1.7982936	0.16187252	1.8375789
[LOG]	22	2.67431	2.67344	0.5	0.4	0	0.021127315	0.021172963	1.798931	0.152116	1.8432193	1.7998917	0.14986141	1.8414463
[LOG]	23	2.66693	2.66392	0.5	0.4	0	0.021186804	0.021087883	1.7995858	0.1408866	1.8380256	1.7987895	0.13953483	1.8341603
[LOG]	24	2.66339	2.65608	0.5	0.4	0	0.021255817	0.020981528	1.8017267	0.13152622	1.8363745	1.7965045	0.12865879	1.8347411
[LOG]	25	2.65656	2.65268	0.5	0.4	0	0.021148255	0.021001711	1.7992527	0.122229226	1.8380592	1.7960125	0.120484285	1.8386251
[LOG]	26	2.65185	2.65081	0.5	0.4	0	0.021140454	0.021086622	1.7985511	0.11462491	1.8384383	1.7986828	0.112950355	1.8376174
[LOG]	27	2.64989	2.64094	0.5	0.4	0	0.021311417	0.02102437	1.8027545	0.10778815	1.8324226	1.7971356	0.10630331	1.8259388
[LOG]	28	2.64369	2.64451	0.5	0.4	0	0.021087041	0.021094553	1.7982826	0.102176644	1.8359762	1.7991998	0.100800544	1.8374499
[LOG]	29	2.64312	2.64103	0.5	0.4	0	0.021182185	0.021077614	1.799996	0.09680257	1.8378842	1.7980852	0.09569706	1.8388088
[LOG]	30	2.6405	2.63326	0.5	0.4	0	0.02118062	0.020976149	1.8002951	0.0921059	1.8373028	1.7955852	0.09113772	1.8321791
[LOG]	31	2.63585	2.63386	0.5	0.4	0	0.021089273	0.021030722	1.7982675	0.08780163	1.8368932	1.7971716	0.087092705	1.8355434
[LOG]	32	2.6353	2.63144	0.5	0.4	0	0.021181157	0.021098485	1.8004127	0.08480401	1.8346591	1.7984974	0.08348288	1.8314395
[LOG]	33	2.63233	2.63062	0.5	0.4	0	0.02110849	0.021014674	1.7987573	0.0815431	1.8362274	1.7981994	0.08041665	1.8347698
[LOG]	34	2.63099	2.62487	0.5	0.4	0	0.021199012	0.0210046	1.801161	0.0787945	1.831051	1.7970757	0.07797308	1.8269714
[LOG]	35	2.62891	2.6286	0.5	0.4	0	0.0210692	0.021043127	1.7981789	0.07639439	1.837028	1.7975963	0.07583789	1.8383975
[LOG]	36	2.6268	2.62448	0.5	0.4	0	0.02104817	0.021059716	1.7977805	0.07436857	1.8359336	1.7977569	0.07361755	1.8311158
[LOG]	37	2.62612	2.62379	0.5	0.4	0	0.021130819	0.021034017	1.7991666	0.07243704	1.8338535	1.7978151	0.07153103	1.832547
[LOG]	38	2.62466	2.6206	0.5	0.4	0	0.021154318	0.021014554	1.7993201	0.070793025	1.8325771	1.7969381	0.06999222	1.8293867
[LOG]	39	2.62318	2.62174	0.5	0.4	0	0.021052403	0.020961547	1.7974352	0.06956542	1.8357637	1.7953726	0.06837163	1.8388144
[LOG]	40	2.62301	2.62089	0.5	0.4	0	0.021096487	0.021069866	1.7986722	0.06819392	1.8345702	1.7970771	0.06746891	1.8341627
[LOG]	41	2.62097	2.61609	0.5	0.4	0	0.02112753	0.02100026	1.7989448	0.06739379	1.8303745	1.7954111	0.06613571	1.828584
[LOG]	42	2.62164	2.6222	0.5	0.4	0	0.021062482	0.021097211	1.7972468	0.06617368	1.8384482	1.7986648	0.06550249	1.8371464
[LOG]	43	2.61835	2.61658	0.5	0.4	0	0.021048697	0.020912457	1.7970542	0.06561253	1.8319769	1.7953824	0.06460096	1.8330113
[LOG]	44	2.6189	2.61528	0.5	0.4	0	0.021083966	0.020950906	1.7974912	0.06483125	1.8338826	1.7952011	0.06389465	1.8317374
[LOG]	45	2.617	2.61475	0.5	0.4	0	0.021092603	0.021071406	1.7976297	0.06416669	1.8302499	1.7959847	0.063316494	1.8298173
[LOG]	46	2.61853	2.6135	0.5	0.4	0	0.021169893	0.020937433	1.7990683	0.06355394	1.8318667	1.7949824	0.06274386	1.8305156
[LOG]	47	2.61501	2.62092	0.5	0.4	0	0.02095965	0.021193396	1.7945566	0.0633998	1.8351448	1.8002386	0.06239114	1.836997
[LOG]	48	2.61416	2.60953	0.5	0.4	0	0.020984385	0.020905383	1.7952973	0.062948436	1.832277	1.7934788	0.062162075	1.8262292
[LOG]	49	2.61438	2.60692	0.5	0.4	0	0.021051757	0.020835768	1.7960359	0.06263113	1.8320143	1.7910457	0.061819218	1.8268551
[LOG]	50	2.61529	2.6194	0.5	0.4	0	0.021004142	0.021202652	1.7955986	0.06229515	1.836375	1.80014	0.061868273	1.8358356
[LOG]	51	2.61295	2.60775	0.5	0.4	0	0.021032333	0.020851169	1.7957116	0.062198043	1.8309202	1.7922139	0.061365113	1.827686
[LOG]	52	2.61183	2.60715	0.5	0.4	0	0.020920465	0.020821713	1.7935795	0.061935976	1.8343381	1.7909144	0.061108794	1.8303238
[LOG]	53	2.61266	2.6125	0.5	0.4	0	0.020983635	0.020964684	1.7941743	0.061818466	1.835672	1.7942336	0.061121672	1.8359898
[LOG]	54	2.61251	2.6057	0.5	0.4	0	0.021080667	0.020879565	1.7965193	0.0618257	1.8299458	1.7926812	0.06102979	1.8235203
[LOG]	55	2.61148	2.60706	0.5	0.4	0	0.020944504	0.020785304	1.7935392	0.061746534	1.8355235	1.7904575	0.06097168	1.833151
[LOG]	56	2.61114	2.61407	0.5	0.4	0	0.02094726	0.020985294	1.7935977	0.061814263	1.8350147	1.7943878	0.061168496	1.8411798
[LOG]	57	2.6112	2.60661	0.5	0.4	0	0.021024851	0.020933347	1.7951692	0.061825037	1.8317953	1.7929108	0.061223358	1.8267132
[LOG]	58	2.60931	2.60601	0.5	0.4	0	0.020969605	0.020875318	1.7934307	0.061935887	1.8318262	1.7912408	0.06148793	1.8296219
[LOG]	59	2.61009	2.61161	0.5	0.4	0	0.020869428	0.02099948	1.7917529	0.061988525	1.8384621	1.7946666	0.061431736	1.8356712
[LOG]	60	2.60892	2.60443	0.5	0.4	0	0.020900711	0.020728292	1.7916865	0.06217267	1.8359885	1.7878313	0.061559666	1.8351763
[LOG]	61	2.60908	2.60392	0.5	0.4	0	0.02100785	0.02083148	1.793911	0.062380087	1.8311082	1.7897916	0.061763573	1.829278
[LOG]	62	2.60835	2.60181	0.5	0.4	0	0.020953143	0.02073994	1.7927704	0.062400058	1.8326428	1.7878654	0.061726574	1.8293958
[LOG]	63	2.60534	2.60825	0.5	0.4	0	0.02079468	0.020892205	1.7891845	0.06260699	1.8343757	1.7920614	0.061761554	1.8354962
