[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	595.165	786.386	0.6	0.7	0	0.070570506	0.07421281	3.8926172	143.3005	721.74396	4.1712303	141.49806	996.0644
[LOG]	1	72.4501	71.7534	0.6	0.7	0	0.06876405	0.07245306	2.9052062	94.43059	18.309101	2.9802456	94.87363	16.82694
[LOG]	2	45.3866	44.7789	0.6	0.7	0	0.06581169	0.069123015	2.6553714	65.96645	4.402417	2.7152731	65.59502	3.7669842
[LOG]	3	31.9804	31.7652	0.6	0.7	0	0.056881618	0.060107604	2.4517665	46.04412	2.6181328	2.5069578	45.552887	2.652981
[LOG]	4	24.0927	24.0596	0.6	0.7	0	0.048282746	0.05115838	2.3033264	33.395035	2.404384	2.3497667	33.26222	2.4046278
[LOG]	5	19.2	19.2954	0.6	0.7	0	0.04260875	0.04464969	2.208934	25.450613	2.3592923	2.2436802	25.537024	2.3718722
[LOG]	6	15.9393	15.9454	0.6	0.7	0	0.0393865	0.04169815	2.157103	20.149988	2.3186784	2.1931052	20.091457	2.3261764
[LOG]	7	13.6975	13.692	0.6	0.7	0	0.037306547	0.039525114	2.126082	16.502964	2.2866638	2.156789	16.403662	2.3200815
[LOG]	8	12.0604	12.1028	0.6	0.7	0	0.036162518	0.03751907	2.111021	13.831773	2.2592897	2.1315377	13.831865	2.290502
[LOG]	9	10.9077	10.9391	0.6	0.7	0	0.034518592	0.036588345	2.0849402	11.961919	2.2527926	2.1165783	11.943629	2.268198
[LOG]	10	9.99862	10.051	0.6	0.7	0	0.033596016	0.03520043	2.0737014	10.48404	2.2371545	2.0975678	10.498011	2.2659707
[LOG]	11	9.30532	9.37249	0.6	0.7	0	0.032726154	0.034207515	2.0611086	9.360998	2.2274969	2.0819335	9.396664	2.2631335
[LOG]	12	8.7242	8.76409	0.6	0.7	0	0.032011487	0.03369252	2.0481195	8.417779	2.2245102	2.0730038	8.392438	2.2676666
[LOG]	13	8.27853	8.29042	0.6	0.7	0	0.0312414	0.032719657	2.0385087	7.703667	2.2137976	2.0589676	7.6229634	2.270735
[LOG]	14	7.86689	7.94697	0.6	0.7	0	0.030684792	0.031558618	2.0292056	7.038469	2.2093685	2.0436027	7.1063137	2.2450497
[LOG]	15	7.54472	7.59398	0.6	0.7	0	0.030305987	0.03156592	2.024173	6.5256343	2.196062	2.0434241	6.530162	2.2350461
[LOG]	16	7.26222	7.32733	0.6	0.7	0	0.029384673	0.030894559	2.0105789	6.081134	2.1930697	2.0320222	6.112572	2.2285023
[LOG]	17	7.00805	7.03233	0.6	0.7	0	0.029214742	0.030381702	2.007179	5.685499	2.174099	2.0273805	5.650489	2.2099268
[LOG]	18	6.76992	6.81391	0.6	0.7	0	0.028556103	0.029735222	1.9979116	5.306649	2.1720295	2.01266	5.320341	2.2020693
[LOG]	19	6.56587	6.64054	0.6	0.7	0	0.028123882	0.029522127	1.9907696	4.995599	2.157495	2.013187	5.040718	2.1934783
[LOG]	20	6.38346	6.43077	0.6	0.7	0	0.027590863	0.028744707	1.9825962	4.726939	2.1390269	2.0006597	4.7160535	2.1901338
[LOG]	21	6.20919	6.24842	0.6	0.7	0	0.02699851	0.028521895	1.9714491	4.4720397	2.12463	1.9948193	4.466769	2.1518056
[LOG]	22	6.05557	6.0789	0.6	0.7	0	0.026627999	0.027766345	1.9661297	4.232659	2.118105	1.9838561	4.2101927	2.145371
[LOG]	23	5.90466	5.94358	0.6	0.7	0	0.026325738	0.02753186	1.9616117	4.0172462	2.0937638	1.9770477	4.013145	2.1308286
[LOG]	24	5.77071	5.79843	0.6	0.7	0	0.025851717	0.02718877	1.9494835	3.8222284	2.0870314	1.972962	3.8160577	2.0983887
[LOG]	25	5.64073	5.69097	0.6	0.7	0	0.025659615	0.026806245	1.947355	3.634772	2.0652297	1.9630826	3.6460102	2.1048982
[LOG]	26	5.51855	5.56761	0.6	0.7	0	0.025144886	0.026351672	1.9346931	3.465974	2.0536087	1.9544758	3.4776602	2.0854213
[LOG]	27	5.41456	5.44293	0.6	0.7	0	0.024870625	0.025777971	1.9271528	3.3213394	2.0399532	1.9418668	3.3069782	2.0717807
[LOG]	28	5.29836	5.33893	0.6	0.7	0	0.024614539	0.025411852	1.9198997	3.1614552	2.0215292	1.9317443	3.1742141	2.0516376
[LOG]	29	5.19867	5.22892	0.6	0.7	0	0.024346774	0.025252853	1.9105465	3.0292835	2.005943	1.9257154	3.0162363	2.038665
[LOG]	30	5.10294	5.14572	0.6	0.7	0	0.024150066	0.025107432	1.9021999	2.90215	1.9902498	1.9167978	2.915137	2.0193806
[LOG]	31	5.00259	5.04543	0.6	0.7	0	0.023829307	0.024659472	1.8907275	2.7817087	1.9667001	1.9027973	2.776911	2.0147774
[LOG]	32	4.92424	4.96946	0.6	0.7	0	0.023657808	0.024626356	1.8808835	2.6741247	1.9612381	1.8960562	2.6894495	1.991028
[LOG]	33	4.84304	4.88261	0.6	0.7	0	0.023500877	0.024558606	1.8709877	2.5738947	1.9454553	1.8901634	2.5687394	1.9790053
[LOG]	34	4.77283	4.80624	0.6	0.7	0	0.0234715	0.024282105	1.8643081	2.4788885	1.9362922	1.8784021	2.4848073	1.9588137
[LOG]	35	4.70415	4.72123	0.6	0.7	0	0.023301791	0.023993483	1.8552313	2.3867223	1.9303116	1.8678343	2.383078	1.9398303
[LOG]	36	4.63799	4.66365	0.6	0.7	0	0.023421612	0.024317361	1.853407	2.3035097	1.9098896	1.8702315	2.2995298	1.9259282
[LOG]	37	4.57599	4.60103	0.6	0.7	0	0.023280477	0.023994863	1.8470632	2.2231379	1.8994086	1.8609991	2.224576	1.9140373
[LOG]	38	4.52241	4.54318	0.6	0.7	0	0.023285698	0.023855496	1.8451152	2.144415	1.893249	1.8560201	2.1432338	1.9083457
[LOG]	39	4.48159	4.50933	0.6	0.7	0	0.023209037	0.023988705	1.8429706	2.082771	1.8909619	1.8597177	2.0784569	1.9103618
[LOG]	40	4.43052	4.45227	0.6	0.7	0	0.023130585	0.023912393	1.8413305	2.0095696	1.8832028	1.8583963	2.0080829	1.8911725
[LOG]	41	4.38826	4.41538	0.6	0.7	0	0.023195686	0.023921918	1.8430839	1.9409322	1.8792784	1.8586539	1.9435859	1.89351
[LOG]	42	4.35129	4.38617	0.6	0.7	0	0.023188185	0.02387881	1.8424665	1.88275	1.8773236	1.8583797	1.8927941	1.8958135
[LOG]	43	4.3185	4.34561	0.6	0.7	0	0.023241445	0.023901291	1.8443147	1.82944	1.8736552	1.8594043	1.8300047	1.8903493
[LOG]	44	4.28126	4.31717	0.6	0.7	0	0.023086974	0.023858573	1.8406032	1.7741188	1.8732914	1.8581934	1.7704664	1.9025959
[LOG]	45	4.24982	4.28518	0.6	0.7	0	0.023160234	0.023943279	1.842434	1.7214628	1.8710167	1.8589765	1.7203754	1.8988374
[LOG]	46	4.22061	4.24308	0.6	0.7	0	0.02315293	0.023878625	1.8415534	1.6736579	1.8716358	1.8567396	1.6722745	1.8832257
[LOG]	47	4.19415	4.22556	0.6	0.7	0	0.023065694	0.023759563	1.839321	1.6346917	1.870528	1.8542899	1.6366733	1.8923123
[LOG]	48	4.17224	4.20392	0.6	0.7	0	0.023073956	0.023863457	1.8405255	1.5925775	1.8737283	1.8574344	1.5924817	1.8949151
[LOG]	49	4.1434	4.17564	0.6	0.7	0	0.022974934	0.023793368	1.8377005	1.5479468	1.8749036	1.8546302	1.5491958	1.8957114
[LOG]	50	4.12044	4.15382	0.6	0.7	0	0.02298941	0.023662133	1.8378268	1.5126854	1.872247	1.8522077	1.5193591	1.8936665
[LOG]	51	4.1018	4.12823	0.6	0.7	0	0.023047648	0.023679836	1.8394382	1.4763589	1.8745595	1.8525845	1.4762875	1.8935993
[LOG]	52	4.07686	4.09485	0.6	0.7	0	0.023028526	0.023660352	1.8391783	1.4380962	1.872194	1.8517549	1.4354587	1.8821931
[LOG]	53	4.05742	4.08554	0.6	0.7	0	0.023010464	0.023620777	1.8381613	1.4062172	1.8732829	1.8520119	1.4053283	1.8944268
[LOG]	54	4.03238	4.06316	0.6	0.7	0	0.02296125	0.023555703	1.8372937	1.3729557	1.8673477	1.8499627	1.3799689	1.8872077
[LOG]	55	4.01106	4.0449	0.6	0.7	0	0.022938598	0.023685684	1.8367347	1.3413545	1.8648682	1.8523118	1.3416152	1.8907266
[LOG]	56	3.99924	4.02585	0.6	0.7	0	0.022934452	0.023719447	1.836398	1.316379	1.8699472	1.8541299	1.3118374	1.8865129
[LOG]	57	3.98524	4.00157	0.6	0.7	0	0.022973556	0.023612497	1.837223	1.2900214	1.8714267	1.8506752	1.2830498	1.8815141
[LOG]	58	3.97073	3.98854	0.6	0.7	0	0.022913175	0.023735372	1.8361158	1.2635741	1.8750336	1.8536328	1.2557864	1.8821186
[LOG]	59	3.95504	3.97267	0.6	0.7	0	0.02290967	0.023603661	1.8360246	1.241697	1.8715765	1.8506943	1.2313138	1.8847066
[LOG]	60	3.9365	3.97786	0.6	0.7	0	0.022894766	0.023807406	1.8357936	1.2160139	1.8675079	1.8551154	1.2185467	1.8968309
[LOG]	61	3.92038	3.94359	0.6	0.7	0	0.022948466	0.023664525	1.8363034	1.1918641	1.8645205	1.8516394	1.1890867	1.8781457
[LOG]	62	3.91753	3.94285	0.6	0.7	0	0.022893967	0.02350821	1.8353014	1.1799852	1.872126	1.8488052	1.1742222	1.8939556
[LOG]	63	3.90386	3.94047	0.6	0.7	0	0.022922195	0.023713114	1.8365622	1.1600349	1.8679938	1.8530873	1.1676639	1.8901368
[LOG]	64	3.88247	3.92265	0.6	0.7	0	0.022841677	0.023635313	1.834659	1.1346548	1.86197	1.8505044	1.1462727	1.8867788
[LOG]	65	3.88687	3.91303	0.6	0.7	0	0.022868259	0.023773324	1.8351327	1.1242992	1.8765255	1.8546414	1.1273926	1.8833808
[LOG]	66	3.86284	3.88614	0.6	0.7	0	0.022890685	0.023536535	1.8353347	1.0967007	1.8656162	1.848588	1.0982862	1.8786114
[LOG]	67	3.86306	3.8875	0.6	0.7	0	0.022918958	0.023703309	1.8366066	1.0867031	1.8727808	1.8532203	1.0927486	1.878777
[LOG]	68	3.8499	3.87776	0.6	0.7	0	0.022927381	0.023659086	1.8363161	1.072665	1.8664963	1.8515947	1.0743979	1.882984
[LOG]	69	3.83888	3.85489	0.6	0.7	0	0.02287215	0.023537565	1.8348705	1.0566484	1.8666056	1.8490016	1.0513784	1.8737974
[LOG]	70	3.83466	3.8505	0.6	0.7	0	0.022853773	0.023569066	1.834645	1.0427024	1.8729262	1.8497223	1.0387462	1.8773988
[LOG]	71	3.83263	3.85227	0.6	0.7	0	0.022988634	0.023766749	1.8377631	1.0353502	1.8719712	1.8543401	1.0212053	1.8884732
[LOG]	72	3.81456	3.84478	0.6	0.7	0	0.02288896	0.023662101	1.8353851	1.0173322	1.8650435	1.8522906	1.0200901	1.8817002
[LOG]	73	3.7997	3.8369	0.6	0.7	0	0.022859974	0.023595266	1.8343543	0.99683595	1.8629245	1.850215	1.0083327	1.8835605
[LOG]	74	3.80242	3.846	0.6	0.7	0	0.02282595	0.023600988	1.833844	0.99672157	1.8677156	1.8506637	1.0063679	1.8976874
[LOG]	75	3.79021	3.82227	0.6	0.7	0	0.022841342	0.023689864	1.834296	0.9801347	1.8639152	1.8522754	0.9870287	1.8781195
[LOG]	76	3.79111	3.81822	0.6	0.7	0	0.022810556	0.02350933	1.8336154	0.9771475	1.8688105	1.8486857	0.9801418	1.8834352
[LOG]	77	3.7818	3.8082	0.6	0.7	0	0.022884028	0.023556346	1.8348519	0.9680479	1.8616098	1.8489914	0.9628366	1.8835835
[LOG]	78	3.7744	3.79614	0.6	0.7	0	0.022847515	0.023540175	1.8344406	0.95048416	1.8667471	1.8493057	0.9568999	1.8710653
[LOG]	79	3.76689	3.79953	0.6	0.7	0	0.022800865	0.02352417	1.8329446	0.9464394	1.8616834	1.8483394	0.95062834	1.8827282
[LOG]	80	3.7602	3.81441	0.6	0.7	0	0.022826351	0.023662709	1.8341463	0.93129885	1.8634628	1.851997	0.95684123	1.8935158
[LOG]	81	3.76269	3.78935	0.6	0.7	0	0.022886736	0.02353906	1.8351648	0.9285093	1.8680177	1.8481237	0.93902296	1.878574
[LOG]	82	3.75303	3.77551	0.6	0.7	0	0.022772979	0.023505032	1.8327243	0.9235524	1.8620081	1.8480755	0.920133	1.8751206
[LOG]	83	3.74636	3.77782	0.6	0.7	0	0.022830255	0.023589974	1.833605	0.9126658	1.8606253	1.8506427	0.9178783	1.8767656
[LOG]	84	3.73628	3.77232	0.6	0.7	0	0.02283592	0.023675747	1.8342687	0.8981209	1.8578092	1.8516738	0.91008204	1.8741816
[LOG]	85	3.73736	3.77411	0.6	0.7	0	0.022829203	0.023495367	1.8337482	0.898529	1.8597972	1.8473914	0.9060832	1.8863374
