[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	3695.19	3573	0.5	0.1	0	0.13884167	0.13567801	8.1143465	7368.58	26.929955	7.953254	7124.574	26.7174
[LOG]	1	342.029	381.887	0.5	0.1	0	0.045635853	0.045030233	2.3491182	678.492	3.4500275	2.3495028	758.2193	3.39458
[LOG]	2	76.1817	83.698	0.5	0.1	0	0.040535852	0.041708227	2.210047	147.23375	2.665528	2.2314842	162.22192	2.6736298
[LOG]	3	31.1925	30.0761	0.5	0.1	0	0.03176807	0.03142971	2.0740414	57.594845	2.331873	2.0661786	55.377796	2.3317273
[LOG]	4	17.3127	16.3767	0.5	0.1	0	0.024116576	0.02441202	1.9592508	30.106483	2.1264641	1.9630142	28.233057	2.0963833
[LOG]	5	11.7337	11.4874	0.5	0.1	0	0.021101741	0.021242961	1.9062986	19.072363	2.0390818	1.9069136	18.579077	2.0359542
[LOG]	6	9.08104	9.01204	0.5	0.1	0	0.020706162	0.02018283	1.8919549	13.806504	1.9861579	1.8777754	13.700028	1.9704071
[LOG]	7	7.53765	7.52924	0.5	0.1	0	0.0205463	0.020066593	1.881538	10.7458935	1.9607339	1.8699198	10.755689	1.9438276
[LOG]	8	6.56293	6.57907	0.5	0.1	0	0.019893512	0.019267382	1.8668306	8.8249855	1.9661907	1.8566154	8.881462	1.9474211
[LOG]	9	5.88494	5.75981	0.5	0.1	0	0.018802416	0.0184775	1.8517349	7.5	1.9632584	1.8432608	7.270201	1.9456767
[LOG]	10	5.56133	5.69428	0.5	0.1	0	0.017567705	0.016984044	1.8371396	6.8795166	1.9764457	1.8245627	7.173697	1.9608338
[LOG]	11	5.25125	5.43528	0.5	0.1	0	0.016279023	0.015982443	1.816489	6.2987127	1.9870993	1.8092319	6.683618	1.9754199
[LOG]	12	5.02398	4.97414	0.5	0.1	0	0.015629405	0.015399078	1.8050672	5.8637605	2.0043595	1.7995266	5.7770514	1.994825
[LOG]	13	4.93446	4.66886	0.5	0.1	0	0.015074671	0.014703402	1.7954282	5.700044	2.0252018	1.7814479	5.2006664	2.0059338
[LOG]	14	4.7224	4.73682	0.5	0.1	0	0.014608069	0.014533707	1.7840735	5.2978544	2.0304112	1.7785144	5.341008	2.0145092
[LOG]	15	4.55494	4.36656	0.5	0.1	0	0.014489741	0.014188883	1.7791808	4.9701495	2.0447009	1.7718905	4.608529	2.0418851
[LOG]	16	4.46432	4.368	0.5	0.1	0	0.014101904	0.013812618	1.767541	4.812348	2.0454175	1.7580268	4.6412816	2.0326498
[LOG]	17	4.36672	4.06023	0.5	0.1	0	0.014113759	0.013887931	1.7644327	4.624401	2.0418246	1.754399	4.0324016	2.0371866
[LOG]	18	4.2198	4.06731	0.5	0.1	0	0.01390817	0.013617121	1.7553117	4.3494635	2.0400586	1.744142	4.068214	2.0330448
[LOG]	19	4.05382	4.10051	0.5	0.1	0	0.0138233425	0.0134484675	1.7498358	4.0299644	2.033992	1.7387688	4.1487093	2.017887
[LOG]	20	3.95271	4.02576	0.5	0.1	0	0.013616294	0.013552504	1.7422547	3.8437736	2.0310974	1.7381685	3.999111	2.0257535
[LOG]	21	3.88559	3.93113	0.5	0.1	0	0.013594507	0.013398638	1.7371243	3.7196898	2.0329082	1.7301011	3.8265123	2.024394
[LOG]	22	3.79665	3.76577	0.5	0.1	0	0.013279809	0.013007761	1.7284174	3.5612988	2.0237298	1.7129087	3.5311618	2.020695
[LOG]	23	3.73656	3.80865	0.5	0.1	0	0.0133132525	0.013199477	1.7238599	3.448102	2.0354617	1.7135386	3.6159163	2.0205345
[LOG]	24	3.65093	3.5853	0.5	0.1	0	0.013234086	0.012870317	1.7142085	3.2965872	2.0342627	1.7032399	3.1907632	2.0167005
[LOG]	25	3.64174	3.52523	0.5	0.1	0	0.013168504	0.012995574	1.7075033	3.2906432	2.0399985	1.7015201	3.0736845	2.0195096
[LOG]	26	3.55781	3.47424	0.5	0.1	0	0.013116561	0.012919324	1.7002189	3.1361208	2.0470679	1.6889333	2.9938989	2.035332
[LOG]	27	3.40135	3.4335	0.5	0.1	0	0.013205213	0.012859578	1.6962879	2.8312616	2.0471597	1.6842273	2.9233418	2.0288532
[LOG]	28	3.394	3.7149	0.5	0.1	0	0.013129881	0.012912498	1.6897665	2.829624	2.048234	1.6799725	3.4938395	2.0340967
[LOG]	29	3.32086	3.29416	0.5	0.1	0	0.013287497	0.013033942	1.6839023	2.6963537	2.042985	1.6763359	2.6582215	2.0423243
[LOG]	30	3.29689	3.32272	0.5	0.1	0	0.013336062	0.012986972	1.6807307	2.6546106	2.0448582	1.6676553	2.7363997	2.024981
[LOG]	31	3.23792	3.19791	0.5	0.1	0	0.013564847	0.01302255	1.6791459	2.540065	2.044689	1.6638854	2.4944148	2.0254526
[LOG]	32	3.21503	3.26967	0.5	0.1	0	0.013440165	0.013328181	1.6687295	2.513336	2.05458	1.6595024	2.6456344	2.031695
[LOG]	33	3.18114	3.05978	0.5	0.1	0	0.013614577	0.013215998	1.6654525	2.4549818	2.0410056	1.65446	2.235014	2.0372014
[LOG]	34	3.09544	3.1275	0.5	0.1	0	0.013642284	0.013377321	1.6585376	2.296012	2.0486894	1.653003	2.3729632	2.0399227
[LOG]	35	3.03844	3.12012	0.5	0.1	0	0.013671266	0.013311898	1.6520978	2.1953144	2.0471885	1.6399148	2.3855617	2.0345647
[LOG]	36	2.99117	2.94995	0.5	0.1	0	0.013763611	0.013655249	1.6487764	2.1062684	2.0535374	1.6443357	2.0358894	2.0376067
[LOG]	37	2.97459	2.95387	0.5	0.1	0	0.013814818	0.013613985	1.6438588	2.0841196	2.0481064	1.6380835	2.0562677	2.0379033
[LOG]	38	2.96204	2.96159	0.5	0.1	0	0.014019	0.013530821	1.6440914	2.0592022	2.0453973	1.6303102	2.0868058	2.0407073
[LOG]	39	2.89892	2.88107	0.5	0.1	0	0.01402908	0.0136997495	1.6391586	1.9428232	2.045932	1.6307427	1.9248843	2.0413163
[LOG]	40	2.89923	2.95572	0.5	0.1	0	0.014120487	0.013748607	1.6350423	1.9530236	2.039609	1.623917	2.0912032	2.0249271
[LOG]	41	2.89105	2.78358	0.5	0.1	0	0.014196882	0.01344635	1.6318448	1.9453485	2.0286279	1.613168	1.7715744	2.0095596
[LOG]	42	2.85008	2.7909	0.5	0.1	0	0.014402159	0.013931177	1.634151	1.8585193	2.0304422	1.6195474	1.7728105	2.0132003
[LOG]	43	2.81996	2.80231	0.5	0.1	0	0.014291909	0.013868485	1.6252031	1.8175969	2.0237894	1.6158323	1.8039948	2.0090241
[LOG]	44	2.80762	2.76635	0.5	0.1	0	0.01434865	0.013955653	1.6228018	1.7991388	2.0171404	1.6145428	1.7326616	2.0194676
[LOG]	45	2.77428	2.76236	0.5	0.1	0	0.014508231	0.014135226	1.6240734	1.729971	2.01725	1.6147354	1.723738	2.022641
[LOG]	46	2.76617	2.74221	0.5	0.1	0	0.01447097	0.014108522	1.6206505	1.7212758	2.0143313	1.6099433	1.6952505	2.0119255
[LOG]	47	2.75695	2.74587	0.5	0.1	0	0.01460938	0.014439676	1.6218299	1.701677	2.0090122	1.6175994	1.6874895	2.0114362
[LOG]	48	2.7303	2.73447	0.5	0.1	0	0.014613943	0.01429737	1.6166769	1.6566757	2.0197039	1.6112812	1.6755224	2.0210695
[LOG]	49	2.72488	2.73144	0.5	0.1	0	0.014760494	0.01433445	1.6191096	1.6405133	2.022643	1.6079999	1.6763754	2.0200195
[LOG]	50	2.71785	2.74539	0.5	0.1	0	0.014722538	0.014355157	1.6183871	1.6301454	2.0121164	1.6075845	1.7061851	2.0152612
[LOG]	51	2.716	2.68247	0.5	0.1	0	0.01478117	0.014454579	1.6189929	1.6263378	2.0072873	1.6095864	1.5804372	1.995593
[LOG]	52	2.72162	2.74729	0.5	0.1	0	0.014822405	0.014623965	1.6163002	1.6422293	2.0118604	1.6128876	1.7014012	2.0068207
[LOG]	53	2.6542	2.69835	0.5	0.1	0	0.014875208	0.014685113	1.6180795	1.5049982	2.007005	1.6093963	1.6146779	1.986928
[LOG]	54	2.66589	2.64613	0.5	0.1	0	0.014865084	0.014514172	1.6200234	1.527496	1.9931097	1.6110394	1.5068747	1.9884282
[LOG]	55	2.6585	2.68111	0.5	0.1	0	0.014936372	0.014731484	1.6164503	1.5162017	2.0124712	1.61086	1.5710295	2.0202732
[LOG]	56	2.61006	2.54974	0.5	0.1	0	0.015010455	0.014561171	1.6197503	1.4120126	2.0169816	1.6050566	1.323257	2.0044544
[LOG]	57	2.70304	2.59723	0.5	0.1	0	0.015069052	0.014602702	1.621901	1.5962301	2.0051785	1.6072997	1.4127811	2.0103176
[LOG]	58	2.68585	2.60871	0.5	0.1	0	0.015015265	0.014449071	1.6195446	1.5675097	2.001499	1.6056088	1.4417053	1.9984492
[LOG]	59	2.62018	2.55982	0.5	0.1	0	0.014990016	0.014380898	1.6140038	1.4476385	2.0005844	1.6003665	1.3535267	2.003905
[LOG]	60	2.62129	2.61192	0.5	0.1	0	0.01499939	0.014824837	1.6157868	1.4453018	2.0065475	1.6143185	1.4313359	1.9973209
[LOG]	61	2.61527	2.5737	0.5	0.1	0	0.015045619	0.014682238	1.616427	1.4316028	2.0094774	1.6110966	1.3588237	2.0109894
[LOG]	62	2.60039	2.63493	0.5	0.1	0	0.015254021	0.014763683	1.6248125	1.385093	2.0104704	1.6118214	1.4813193	2.0046868
[LOG]	63	2.64737	2.56323	0.5	0.1	0	0.015190647	0.014865424	1.6214728	1.4871666	2.0044706	1.6157594	1.3311576	2.0002177
[LOG]	64	2.60355	2.62612	0.5	0.1	0	0.015070557	0.014783983	1.6184415	1.4046621	2.0102007	1.6119958	1.4657106	1.995074
[LOG]	65	2.60498	2.60627	0.5	0.1	0	0.015140835	0.014563606	1.6217133	1.4022195	2.0050483	1.6068883	1.434247	2.0060337
